Hs Code,Hs  Description,Date Processed,Items Number,Number of Package,Goods Description1,Items Cif Ghc,Amount Paid Ghc,Country  Destination
0808200000,"Pears and quinces, fresh",10/15/2003 01:51PM,7,2,ADVOCADO PEAR,8.80,0.00,GB
0904110000,Dried pepper (excl. crushed or ground),10/15/2003 01:51PM,6,3,PEPPER,7.92,0.00,GB
0904120000,"Pepper, crushed or ground",11/3/2003 03:36PM,1,80,CHILLIES,140.50,0.00,GB
,,11/3/2003 04:23PM,2,350,CHILLIES,596.23,0.00,GB
,,11/3/2003 04:44PM,2,90,CHILLIES,173.86,0.00,GB
,,11/3/2003 04:57PM,1,80,CHILLIES,154.55,0.00,GB
,,11/3/2003 05:42PM,1,80,CHILLIES,342.46,0.00,GB
,,11/3/2003 06:13PM,1,80,CHILLIES,154.55,0.00,GB
,,11/3/2003 06:13PM,1,170,CHILLIES,328.41,0.00,GB
,,11/3/2003 06:44PM,1,150,CHILLIES,219.53,0.00,GB
,,11/3/2003 07:08PM,1,30,CHILLIES,86.05,0.00,GB
,,11/3/2003 07:51PM,1,210,CHILLIES,175.62,0.00,GB
,,11/3/2003 07:56PM,1,120,CHILLIES,175.62,0.00,GB
,,11/3/2003 08:13PM,1,195,CHILLIES,342.46,0.00,GB
,,11/3/2003 08:32PM,1,70,CHILLIES,105.37,0.00,GB
,,11/3/2003 08:45PM,1,200,CHILLIES,878.10,0.00,GB
0910100000,Ginger,11/3/2003 03:36PM,5,2,GINGER,3.51,0.00,GB
1104230000,"Cereal grains, worked but not rolled or flaked, of maize (corn)",12/16/2003 04:35PM,2,3,OBLAYO,4.43,0.00,GH
1202109000,"Groundnut, in shell - other, nes",11/3/2003 03:36PM,1,40,PEANUTS,70.25,0.00,NL
1211902000,Bark and wood used pharmacy and medicine,11/6/2003 01:57PM,3,7,ASSORTED EDIBLE HERBS,70.29,0.00,GH
,,12/22/2003 02:17PM,1,4,NATURAL EDIBLE HERBS,639.25,0.00,GH
1212920000,"Sugar cane, fresh, dried, chilled or frozen",11/3/2003 03:36PM,3,5,SUGAR CANE,8.78,0.00,GB
1213000000,Cereal straw and husks,11/3/2003 03:36PM,5,8,CORN HUSK,14.05,0.00,GB
1511901000,"Palm oil and its fractions, refined, pkg <=5 litres put up for retail sale",11/3/2003 03:36PM,3,3,PALM OIL,7.90,0.00,GB
1515901100,"Shea (karite) oil and fractions, crude",11/6/2003 01:57PM,1,7,SHEABUTTER,52.72,0.00,GH
2008119000,"Other prepared groundnuts, nes",12/11/2003 03:23PM,1,12,FRESH PALM FRUITS,265.97,0.00,GH
2009400000,"Fruit juice, pineapple,unfermented, not cont. added spirit",11/14/2003 05:30PM,2,85,PINEAPPLE JUICE,1267.14,0.00,GH
2513190000,"Other pumice stone, nes",10/8/2003 02:41PM,1,1,ALLUVIAL CONCENTRATE SAMPLES,35.19,0.00,GH
2517490000,"Granules, chippings and powder of stones (excl. marble)",10/17/2003 02:17PM,1,8,DRILL CORE SAMPLES,44.00,0.00,GH
,,11/11/2003 01:55PM,1,32,DRILL CORE ROCK SAMPLES,43.95,0.00,GH
,,12/16/2003 12:28PM,1,17,ROCK SAMPLES FOR METALLURGICALTEST,44.27,0.00,GH
2530900000,"Other mineral substances, nes",12/24/2003 11:39AM,1,4,SOIL SAMPLE,63.00,0.00,CO
2616901000,Gold ores and concentrates,11/12/2003 12:31PM,1,4,GOLD  ORE  FOR  REFINING,1532919.46,0.00,GH
3822000000,Diagnostic/lab.reagents on backing;prepd diagnostic/lab.reagents exc.ch30,10/15/2003 05:13PM,1,1,TEST STRIPS,37255.73,0.00,NL
3923100000,"Boxes, cases, crates and similar articles of plastics",12/30/2003 08:09AM,1,2,ASSORTED PLASTIC GOODS,44.39,0.00,GH
4420100000,"Statuettes and other ornaments, of wood",12/9/2003 05:15PM,1,47,HANDICRAFT,88.66,0.00,GH
,,12/10/2003 05:49PM,1,1,WOOD CARVINGS,84.22,0.00,GH
,,12/30/2003 10:04AM,2,2,HANDICRAFTS,53.26,0.00,GH
5212140000,"Cotton, woven, coloured, wt<=200g/m2 - other, nes",11/3/2003 04:23PM,1,1,BATIK,87.81,0.00,NA
,,11/4/2003 10:42AM,1,1,BATIK CLOTHING,87.86,0.00,AU
6217100000,"Clothing accessories, nes",12/30/2003 12:38PM,1,5,CLOTHINGS,26.63,0.00,GH
6309000000,Worn clothing and other worn articles,11/3/2003 05:42PM,1,2,PERSONAL EFFECTSUSED CLOTHINGS,131.72,0.00,UG
,,11/6/2003 08:08PM,3,18,CLOTHING,87.86,0.00,NG
6812500000,"Clothing, clothing accessories, footwear and headgear of asbestos...",11/26/2003 04:14PM,1,4,CLOTHINGS,104.46,0.00,GH
6909900000,"Ceramic (agricultural) troughs, tubs...; ceramic pot, jars nes",12/30/2003 10:04AM,1,1,FLOWER POT,35.51,0.00,GH
6911900000,"Household and toilet articles, nes, of porcelain or china",11/6/2003 08:08PM,4,18,HOUSEHOLD ITEMS,87.86,0.00,NG
7105100000,Dust and powder of diamonds,11/10/2003 05:14PM,1,1,ROUGH DIAMONDS,194740.24,0.00,GH
,,11/11/2003 05:57PM,1,1,ROUGH  DIAMONDS,137483.15,0.00,GH
,,11/11/2003 06:00PM,1,1,ROUGH DIAMONDS,8800.49,0.00,GH
,,11/12/2003 08:21AM,1,1,ROUGH DIAMONDS,319470.71,0.00,GH
,,11/24/2003 09:47AM,1,1,ROUGH DIAMONDS,200948.78,0.00,GH
,,11/27/2003 12:02PM,1,1,ROUGH DIAMONDS,509566.85,0.00,GH
,,11/27/2003 12:02PM,1,1,ROUGH DIAMONDS,42703.31,0.00,GH
,,11/27/2003 12:02PM,1,1,ROUGH DIAMONDS,625587.09,0.00,GH
,,12/2/2003 04:44PM,1,1,ROUGH DIAMONDS,100098.68,0.00,GH
,,12/2/2003 04:44PM,1,1,ROUGH DIAMONDS,308636.06,0.00,GH
,,12/4/2003 03:51PM,1,1,ROUGH DIAMONDS,451146.00,0.00,GH
,,12/4/2003 03:51PM,1,1,ROUGH DIAMONDS,134292.90,0.00,GH
,,12/4/2003 03:52PM,1,1,ROUGH DIAMONDS,85579.74,0.00,GH
,,12/10/2003 03:20PM,1,1,ROUGH DIAMOND,155222.28,0.00,GH
,,12/11/2003 02:36PM,1,1,ROUGH DIAMONDS,488319.45,0.00,GH
,,12/16/2003 02:29PM,1,1,ROUGH DIAMONDS,35624.23,0.00,GH
,,12/16/2003 02:29PM,1,1,ROUGH DIAMONDS,165874.55,0.00,GH
,,12/18/2003 04:28PM,1,1,ROUGH DIAMONDS,380726.66,0.00,GH
,,12/18/2003 04:28PM,1,1,ROUGH DIAMONDS,180177.01,0.00,GH
,,12/23/2003 04:22PM,1,1,ROUGH DIAMOND,16789.53,0.00,GH
,,12/23/2003 04:22PM,1,1,ROUGH DIAMONDS,18454.90,0.00,GH
,,12/23/2003 04:23PM,1,1,ROUGH DIAMOND,65861.83,0.00,GH
7108130000,"Semi-manufactured gold (incl. gold plated with platinum), non-monetary",10/1/2003 04:06PM,1,2,"BAR NO =  AGL3046G, AGL3045GBULLION OZ =  169.14, 631.84",250032.28,0.00,GH
,,,2,2,"BAR NO =  AGL3048G, AGL3047GBULLION OZ =  580.57, 92.33",210051.47,0.00,
,,,3,1,BAR NO =  AGL3049BULLION OZ =  683.04,213216.93,0.00,
,,,4,1,BAR NO =  AGL3050BULLION OZ =  697.81,217827.86,0.00,
,,,5,2,"BAR NO =  AGL3052, AGL3051BULLION OZ =  688.69, 133.75",256734.46,0.00,
,,,6,1,BAR NO =  AGL3053BULLION OZ =  695.31,217049.26,0.00,
,,10/2/2003 10:17AM,1,1,BAR NO  =  TMHL02725BULLION OZ  =  1033.871,314131.44,0.00,GH
,,,2,1,BAR NO  =  TMHL02726BULLION OZ  =  940.248,287357.04,0.00,
,,,3,1,BAR NO  =  TMHL02727BULLION OZ  =  961.629,293697.63,0.00,
,,,4,1,BAR NO  =  TMHL02728BULLION OZ  =  955.745,274422.48,0.00,
,,,5,1,BAR NO  =  TMHL02729BULLION OZ  =  842.157,242174.95,0.00,
,,,6,1,BAR NO  =  TMHL02730BULLION OZ  =  497.951,143327.05,0.00,
,,,7,1,BAR NO  =  TMHL02731BULLION OZ  =  797.242,239237.36,0.00,
,,,8,1,BAR NO  =  TMHL02732BULLION OZ  =  382.337,114270.49,0.00,
,,,9,1,BAR NO  =  TMHL02733BULLION OZ  =  697.800,208671.09,0.00,
,,,10,1,BAR NO  =  TMHL02734BULLION OZ  =  480.975,144814.76,0.00,
,,10/3/2003 11:43AM,1,6,"GOLD BULLIONBAR NO = AGBL210, AGBL211, AGBL212",1717394.29,0.00,GH
,,10/3/2003 12:30PM,1,1,BAR NO          =   BGM-J315BULLION OZ  =   717.591,221146.40,0.00,GH
,,10/8/2003 04:57PM,1,15,"GOLD BULLION BAR NOS. OM150, SOH150SS 565,566,567,568,569,570,571,572,",3611304.50,0.00,GH
,,10/9/2003 03:33PM,1,1,GOLD DOREBAR NO           =    BGM-J316,196294.82,0.00,GH
,,10/9/2003 03:35PM,1,1,GOLD DOREBAR NO          =     0261,91423.54,0.00,GH
,,10/9/2003 05:37PM,1,1,GOLD DOREBAR NO          =      TMHL02735,352417.97,0.00,GH
,,,2,1,GOLD DOREBAR NO          =      TMHL02736,248996.60,0.00,
,,,3,1,GOLD DOREBAR NO          =      TMHL02737,197060.24,0.00,
,,,4,1,GOLD DOREBAR NO          =      TMHL02738,342169.18,0.00,
,,,5,1,GOLD DOREBAR NO          =      TMHL02739,302991.68,0.00,
,,,6,1,GOLD DOREBAR NO          =      TMHL02740,277129.96,0.00,
,,,7,1,GOLD DOREBAR NO          =      TMHL02741,223151.59,0.00,
,,,8,1,GOLD DOREBAR NO          =      TMHL02742,158559.32,0.00,
,,,9,1,GOLD DOREBAR NO          =      TMHL02743,247137.58,0.00,
,,,10,1,GOLD DOREBAR NO          =      TMHL02744,175703.98,0.00,
,,,11,1,GOLD DOREBAR NO          =      TMHL02745,170177.95,0.00,
,,,12,1,GOLD DOREBAR NO          =      TMHL02746,292990.12,0.00,
,,,13,1,GOLD DOREBAR NO          =      TMHL02747,251915.77,0.00,
,,,14,1,GOLD DOREBAR NO          =      TMHL02748,238983.59,0.00,
,,,15,1,GOLD DOREBAR NO          =      TMHL02749,271404.22,0.00,
,,,16,1,GOLD DOREBAR NO          =      TMHL02750,306495.05,0.00,
,,,17,1,GOLD DOREBAR NO          =      TMHL02751,129940.30,0.00,
,,,18,1,GOLD DOREBAR NO          =      TMHL02752,74894.73,0.00,
,,10/9/2003 06:41PM,1,2,"GOLD DOREBAR NOS    =     AGL3055G, AGL3054G",209541.09,0.00,GH
,,,2,2,"GOLD DOREBAR NOS    =     AGL3057G, AGL3056G",210434.08,0.00,
,,,3,2,GOLD DOREBAR NOS    =     AGL3058,199028.36,0.00,
,,,4,2,GOLD DOREBAR NOS    =     AGL3059,206290.23,0.00,
,,,5,2,GOLD DOREBAR NOS    =     AGL3060,179955.17,0.00,
,,,6,2,GOLD DOREBAR NOS    =     AGL3061,215470.94,0.00,
,,,7,2,GOLD DOREBAR NOS    =     AGL3062,199340.69,0.00,
,,,8,2,GOLD DOREBAR NOS    =     AGL3063,149017.88,0.00,
,,,9,2,"GOLD DOREBAR NOS    =     AGL3065, AGL3064",135044.90,0.00,
,,,10,2,GOLD DOREBAR NOS    =     AGL3066,227781.10,0.00,
,,,11,2,GOLD DOREBAR NOS    =     AGL3067,205607.50,0.00,
,,,12,2,GOLD DOREBAR NOS    =     AGL3068,201970.41,0.00,
,,10/15/2003 04:04PM,1,1,GOLD DOREBAR NO              =     TMHL02758,214919.09,0.00,GH
,,,2,1,GOLD DOREBAR NO              =     TMHL02759,117073.97,0.00,
,,,3,1,GOLD DOREBAR NO              =     TMHL02760,228560.46,0.00,
,,,4,1,GOLD DOREBAR NO              =     TMHL02761,285808.81,0.00,
,,,5,1,GOLD DOREBAR NO              =     TMHL02762,285482.36,0.00,
,,,6,1,GOLD DOREBAR NO              =     TMHL02763,280670.08,0.00,
,,,7,1,GOLD DOREBAR NO              =     TMHL02764,252093.87,0.00,
,,,8,1,GOLD DOREBAR NO              =     TMHL02765,109246.22,0.00,
,,,9,1,GOLD DOREBAR NO              =     TEB02753,351525.48,0.00,
,,,10,1,GOLD DOREBAR NO              =     TEB02754,177274.44,0.00,
,,,11,1,GOLD DOREBAR NO              =     TEB02755,262958.21,0.00,
,,,12,1,GOLD DOREBAR NO              =     TEB02756,338149.85,0.00,
,,,13,1,GOLD DOREBAR NO              =     TEB02757,254895.53,0.00,
,,10/15/2003 04:48PM,1,1,GOLD DOREBAR NO          =     AGL3077,200338.85,0.00,GH
,,,2,1,GOLD DOREBAR NO          =     AGL3069G,196919.49,0.00,
,,,3,1,GOLD DOREBAR NO          =     AGL3070G,197968.35,0.00,
,,,4,1,GOLD DOREBAR NO          =     AGL3071G,83802.51,0.00,
,,,5,1,GOLD DOREBAR NO          =     AGL3072G,195052.30,0.00,
,,,6,1,GOLD DOREBAR NO          =     AGL3073,207155.58,0.00,
,,,7,2,"GOLD DOREBAR NO          =  AGL3075, AGL3074",222698.45,0.00,
,,,8,1,GOLD DOREBAR NO          =  AGL3076,216618.21,0.00,
,,,9,1,GOLD DOREBAR NO          =  AGL3078,169112.32,0.00,
,,,10,1,GOLD DOREBAR NO          =  AGL3079,203537.35,0.00,
,,10/17/2003 03:39PM,1,1,GOLD DOREBAR NO    =     BGM-J317A,179870.20,0.00,GH
,,,2,1,GOLD DOREBAR NO    =     BGM-J317B,88951.79,0.00,
,,10/17/2003 04:23PM,1,1,GOLD DOREBAR NO           =     0262,89673.32,0.00,GH
,,10/24/2003 05:37PM,1,1,GOLD DOREBAR NO         =       AGL3080,232842.74,0.00,GH
,,,2,1,GOLD DOREBAR NO         =       AGL3081,211432.80,0.00,
,,,3,2,"GOLD DOREBAR NO         =  AGL3082, AGL3084G",106179.60,0.00,
,,,4,1,GOLD DOREBAR NO         =   AGL3083G,216392.91,0.00,
,,,5,1,GOLD DOREBAR NO         =   AGL3085G,164698.86,0.00,
,,,6,2,"GOLD DOREBAR NO       =  AGL3086G,  AGL3087G",143209.74,0.00,
,,,7,1,GOLD DOREBAR NO       =     AGL3088,147802.11,0.00,
,,,8,1,GOLD DOREBAR NO       =     AGL3089,215340.71,0.00,
,,,9,1,GOLD DOREBAR NO       =     AGL3090,229993.18,0.00,
,,,10,1,GOLD DOREBAR NO       =     AGL3091,221980.29,0.00,
,,,11,1,GOLD DOREBAR NO       =     AGL3092,236133.94,0.00,
,,,12,1,GOLD DOREBAR NO       =     AGL3093,133535.86,0.00,
,,,13,1,GOLD DOREBAR NO       =     AGL3094,218831.62,0.00,
,,,14,1,GOLD DOREBAR NO       =     AGL3095,162297.98,0.00,
,,,15,1,GOLD DOREBAR NO       =     AGL3096,201166.84,0.00,
,,10/24/2003 05:40PM,1,1,GOLD DOREBAR NO          =     BGM-J318,247213.68,0.00,GH
,,10/27/2003 01:18PM,1,1,GOLD DOREBAR NO          =       TMHL02771,313832.93,0.00,GH
,,,2,1,GOLD DOREBAR NO          =       TMHL02772,345205.32,0.00,
,,,3,1,GOLD DOREBAR NO          =       TMHL02773,315053.17,0.00,
,,,4,1,GOLD DOREBAR NO          =       TMHL02774,319841.72,0.00,
,,,5,1,GOLD DOREBAR NO          =       TMHL02775,169460.14,0.00,
,,,6,1,GOLD DOREBAR NO          =       TMHL02776,239379.39,0.00,
,,,7,1,GOLD DOREBAR NO          =       TMHL02777,220506.69,0.00,
,,,8,1,GOLD DOREBAR NO          =       TMHL02778,227923.98,0.00,
,,,9,1,GOLD DOREBAR NO          =       TMHL02779,253494.32,0.00,
,,,10,1,GOLD DOREBAR NO          =       TMHL02780,238346.54,0.00,
,,,11,1,GOLD DOREBAR NO          =       TMHL02781,179680.36,0.00,
,,,12,1,GOLD DOREBAR NO          =       TMHL02787,273879.33,0.00,
,,,13,1,GOLD DOREBAR NO          =       TMHL02788,262079.94,0.00,
,,,14,1,GOLD DOREBAR NO          =       TMHL02789,197743.67,0.00,
,,,15,1,GOLD DOREBAR NO          =       TMHL02790,202828.71,0.00,
,,,16,1,GOLD DOREBAR NO          =       TMHL02791,237532.76,0.00,
,,,17,1,GOLD DOREBAR NO          =       TMHL02792,215657.43,0.00,
,,,18,1,GOLD DOREBAR NO          =       TEB02766,338847.26,0.00,
,,,19,1,GOLD DOREBAR NO          =       TEB02767,314783.08,0.00,
,,,20,1,GOLD DOREBAR NO          =       TEB02768,195446.61,0.00,
,,,21,1,GOLD DOREBAR NO          =       TEB02769,168436.10,0.00,
,,,22,1,GOLD DOREBAR NO          =       TEB02770,251205.17,0.00,
,,,23,1,GOLD DOREBAR NO          =       TEB02782,341723.21,0.00,
,,,24,1,GOLD DOREBAR NO          =       TEB02783,321090.99,0.00,
,,,25,1,GOLD DOREBAR NO          =       TEB02784,209808.76,0.00,
,,,26,1,GOLD DOREBAR NO          =       TEB02785,212784.12,0.00,
,,,27,1,GOLD DOREBAR NO          =       TEB02786,262652.66,0.00,
,,,28,1,GOLD DOREBAR NO          =       TEB02793,202943.08,0.00,
,,,29,1,GOLD DOREBAR NO          =       TEB02794,259533.90,0.00,
,,,30,1,GOLD DOREBAR NO          =       TEB02795,208868.29,0.00,
,,10/27/2003 04:25PM,1,1,GOLD DOREBAR NO         =      0263,125539.68,0.00,GH
,,10/29/2003 04:14PM,1,1,GOLD DOREBAR NO          =   AGL3097,209190.64,0.00,GH
,,,2,1,GOLD DOREBAR NO          =   AGL3098,204260.11,0.00,
,,,3,2,"GOLD DOREBAR NO          =  AGL3100, AGL3099",212593.28,0.00,
,,,4,2,GOLD DOREBAR NO          =   AGL3101,234111.12,0.00,
,,,5,2,GOLD DOREBAR NO          =   AGL3102,205359.49,0.00,
,,,6,2,GOLD DOREBAR NO          =   AGL3103G,170039.67,0.00,
,,,7,2,GOLD DOREBAR NO          =   AGL3104G,207788.32,0.00,
,,10/29/2003 04:25PM,1,1,GOLD DOREBAR NO          =     TMHL02796,203720.96,0.00,GH
,,,2,1,GOLD DOREBAR NO          =     TMHL02797,213215.85,0.00,
,,,3,1,GOLD DOREBAR NO          =     TMHL02798,242429.36,0.00,
,,10/31/2003 06:09PM,1,1,GOLD DOREBAR NO          =     BGM-J319,240879.51,0.00,GH
,,11/4/2003 12:22PM,1,11,"GOLD BULLION BAR NOS. GAG02798,GAG02799,GAG02800,GAG02801,GAG02802",2346116.58,0.00,CH
,,11/5/2003 11:38AM,1,15,"GOLD BULLION BAR NOS.OM 156,157SOH 154, SS 614,615,616,617,618,619",3379302.06,0.00,GH
,,11/5/2003 05:15PM,1,1,GOLD DOREBAR NO          =     TMHL02802,239167.17,0.00,GH
,,,2,1,GOLD DOREBAR NO          =     TMHL02803,209790.55,0.00,
,,,3,1,GOLD DOREBAR NO          =     TMHL02804,274724.17,0.00,
,,,4,1,GOLD DOREBAR NO          =     TMHL02805,286904.83,0.00,
,,,5,1,GOLD DOREBAR NO          =     TMHL02806,275539.56,0.00,
,,,6,1,GOLD DOREBAR NO          =     TMHL02807,155434.06,0.00,
,,,7,1,GOLD DOREBAR NO          =     TMHL02808,151245.56,0.00,
,,,8,1,GOLD DOREBAR NO          =     TMHL02809,272966.88,0.00,
,,,9,1,GOLD DOREBAR NO          =     TMHL02810,211043.50,0.00,
,,,10,1,GOLD DOREBAR NO          =     TMHL02811,170118.85,0.00,
,,,11,1,GOLD DOREBAR NO          =     TMHL02812,194357.15,0.00,
,,,12,1,GOLD DOREBAR NO          =     TMHL02813,169042.51,0.00,
,,,13,1,GOLD DOREBAR NO          =     TEB02799,199649.23,0.00,
,,,14,1,GOLD DOREBAR NO          =     TEB02800,195581.11,0.00,
,,,15,1,GOLD DOREBAR NO          =     TEB02801,169529.28,0.00,
,,11/5/2003 05:19PM,1,1,GOLD DOREBAR NO          =     AGL3105,238531.03,0.00,GH
,,,2,1,GOLD DOREBAR NO          =     AGL3106,176362.50,0.00,
,,,3,1,GOLD DOREBAR NO          =     AGL3107,233050.92,0.00,
,,,4,1,GOLD DOREBAR NO          =     AGL3108,219951.20,0.00,
,,,5,1,GOLD DOREBAR NO          =     AGL3109G,168872.93,0.00,
,,,6,1,GOLD DOREBAR NO          =     AGL3110G,197292.71,0.00,
,,11/5/2003 05:24PM,1,1,GOLD DOREBAR NO           =     0264,88619.26,0.00,GH
,,11/7/2003 12:19PM,1,1,GOLD DOREBAR NO           =     BGM-J320,208177.36,0.00,GH
,,11/7/2003 01:02PM,1,6,"GOLD BULLION  BAR NOS, AGBL236,AGBL237, AGBL238, AGBL239, AGBL240",1305206.94,0.00,GH
,,11/10/2003 01:00PM,1,2,GOLD  BULLION,331249.17,0.00,GH
,,11/11/2003 03:38PM,1,8,"GOLD BULLION BAR NOS. GAG02809,GAG02810,GAG02811,GAG02812,GAG02813",1381012.33,0.00,GH
,,11/11/2003 04:01PM,1,1,GOLD GRANULESONE WOODEN BOX,5432779.50,0.00,GH
,,11/12/2003 04:47PM,1,1,GOLD DOREBAR NO          =     TMHL02818,213580.00,0.00,GH
,,,2,1,GOLD DOREBAR NO          =     TMHL02819,156390.45,0.00,
,,,3,1,GOLD DOREBAR NO          =     TMHL02820,181875.91,0.00,
,,,4,1,GOLD DOREBAR NO          =     TMHL02821,273827.01,0.00,
,,,5,1,GOLD DOREBAR NO          =     TMHL02822,80305.02,0.00,
,,,6,1,GOLD DOREBAR NO          =     TMHL02823,212471.48,0.00,
,,,7,1,GOLD DOREBAR NO          =     TMHL02824,212344.89,0.00,
,,,8,1,GOLD DOREBAR NO          =     TMHL02825,259803.02,0.00,
,,,9,1,GOLD DOREBAR NO          =     TMHL02826,131184.53,0.00,
,,,10,1,GOLD DOREBAR NO          =     TEB02814,231158.13,0.00,
,,,11,1,GOLD DOREBAR NO          =     TEB02815,343394.92,0.00,
,,,12,1,GOLD DOREBAR NO          =     TEB02816,327337.61,0.00,
,,,13,1,GOLD DOREBAR NO          =     TEB02817,242189.73,0.00,
,,11/12/2003 04:50PM,1,10,"GOLD DOREBAR NO          =    3121G, 3111",1026564.71,0.00,GH
,,,2,10,GOLD DOREBAR NO          =    3112,238120.46,0.00,
,,,3,10,GOLD DOREBAR NO          =    3113,234723.68,0.00,
,,,4,10,GOLD DOREBAR NO          =    3114,201606.91,0.00,
,,,5,10,GOLD DOREBAR NO          =    3115,264347.87,0.00,
,,,6,10,GOLD DOREBAR NO          =    3116,214885.44,0.00,
,,,7,10,GOLD DOREBAR NO          =    3117,223070.57,0.00,
,,,8,10,GOLD DOREBAR NO          =    3118,72351.09,0.00,
,,,9,10,GOLD DOREBAR NO          =    3119G,198382.43,0.00,
,,,10,10,GOLD DOREBAR NO          =    3120G,207705.10,0.00,
,,11/12/2003 04:52PM,1,15,"GOLD BULLION BAR NOS. OM 158,159SOH 155, SS 626,627,628,629,630,631",3041829.43,0.00,GH
,,11/14/2003 02:14PM,1,1,GOLD DOREBAR NO          =     J321,272719.37,0.00,GH
,,11/14/2003 03:43PM,1,7,"GOLD BULLION BAR NOS. AGBL242,AGBL243,AGBL244,AGBL245,AGBL246,",1757893.24,0.00,GH
,,11/17/2003 03:20PM,1,1,GOLD DOREBAR NO          =           0265,119883.93,0.00,GH
