House Code,House Heads Code,House  Description,Date Processed,Items No,Number of Packages,Goods Descriptions 1,Items Cif Ghc,Amount Paid Ghc,Country  Destination
0713390000,0713390000,"Dried beans, shelled, nes",11/25/2005 09:10AM,9,10,10 SACKS STC AQUSHI,24.73,0.00,DE
0714901000,0714901000,Yams,1/5/2005 12:50PM,1,1000,FRESH  YAMS,133.20,0.00,US
,,,1/6/2005 11:13AM,1,1000,FRESH YAMS,12757.43,0.00,US
,,,1/7/2005 09:43AM,1,800,FRESH YAMS(25 KGS./CTN.),8747.95,0.00,GB
,,,1/13/2005 10:19AM,1,1000,FRESH YAMS,156.71,0.00,CA
,,,1/8/2005 01:58PM,1,400,400 CARTONS FRESH YAM,5831.97,0.00,NL
,,,1/8/2005 01:58PM,1,880,880 CARTONS FRESH YAM,12830.33,0.00,NL
,,,1/8/2005 02:12PM,1,480,480 CARTONS FRESH YAM,6480.14,0.00,NL
,,,1/8/2005 02:12PM,1,880,880 CARTONS FRESH YAM,13364.49,0.00,GB
,,,1/10/2005 09:02AM,1,1000,FRESH YAMS,4909.20,0.00,NL
,,,1/10/2005 09:47AM,1,550,FRESH YAMS(25 KGS./CTN.),6075.14,0.00,NL
,,,1/12/2005 10:43AM,1,1360,1360 CARTONS FRESH YAM,17090.40,0.00,GB
,,,1/13/2005 10:13AM,1,250,FRESH YAMS(25 KGS./CTN.),1002.37,0.00,ZA
,,,1/14/2005 10:02AM,1,800,FRESH YAMS(25 KGS./CTN.),8747.95,0.00,GB
,,,1/14/2005 12:03PM,1,1000,1000 CTN OF FRESH YAMS,10023.70,0.00,US
,,,1/19/2005 03:15PM,1,1000,FRESH YAMS,7289.96,0.00,GH
,,,1/19/2005 03:44PM,1,1000,FRESH YAMS(1000 CARTONS),11510.85,0.00,US
,,,1/20/2005 03:29PM,1,500,1X20' STC 500 CARTONS FRESH YAM,5467.47,0.00,GB
,,,1/20/2005 03:29PM,1,900,1X40' STC 900 CARTONS FRESH YAM,9841.45,0.00,NL
,,,1/20/2005 03:52PM,1,1500,1X40' STC 1500 CARTONS FRESH YAM,20558.79,0.00,GB
,,,1/31/2005 09:38AM,1,1000,FRESH YAMS,6792.66,0.00,DE
,,,1/21/2005 11:59AM,1,800,FRESH YAMS(25 KGS./CTN.),8747.95,0.00,GB
,,,1/21/2005 12:39PM,1,1000,1000 CTN OF FRESH YAMS,10023.70,0.00,US
,,,1/21/2005 01:10PM,1,1000,FRESH YAMS,6834.34,0.00,GB
,,,1/21/2005 01:35PM,1,1000,FRESH YAMS,13121.93,0.00,US
,,,1/21/2005 01:35PM,1,400,FRESH YAMS,5737.28,0.00,NL
,,,1/21/2005 03:11PM,1,1000,FRESH YAMS,6916.35,0.00,US
,,,1/21/2005 05:14PM,1,2600,3X40' STC 2600 CARTONS FRESH YAM,34907.30,0.00,GB
,,,1/21/2005 06:07PM,1,1000,FRESH YAMS,18224.90,0.00,US
,,,1/24/2005 04:00PM,1,1000,FRESH YAMS,27337.35,0.00,US
,,,1/25/2005 03:35PM,1,1600,FRESH YAMS,17494.18,0.00,GB
,,,1/25/2005 05:25PM,1,430,FRESH YAMS430 CARTONS,2048.52,0.00,GH
,,,1/28/2005 12:53PM,1,6,6 PALLETS CTG: 240 CTNS FRESH YAMS,637.81,0.00,GB
,,,1/27/2005 06:18PM,1,1040,FRESH YAMS(25 KGS./CTN.),8528.41,0.00,NL
,,,1/28/2005 09:08AM,1,1760,1760 CARTONS FRESH YAM,2264.01,0.00,GB
,,,1/28/2005 09:08AM,1,880,880 CARTONS FRESH YAM,8460.86,0.00,NL
,,,1/28/2005 09:32AM,1,900,1X40' STC 900 CARTONS FRESH YAM,12331.99,0.00,GB
,,,1/28/2005 05:28PM,1,400,FRESH YAMS(400 CARTONS),1822.31,0.00,GB
,,,1/28/2005 01:59PM,1,1000,FRESH YAMS(25 KGS./CTN.),10933.86,0.00,GB
,,,1/28/2005 02:56PM,1,680,FRESH YAMS,7581.00,0.00,GB
,,,1/28/2005 05:01PM,1,800,800 CARTON FRESH YAM,10204.94,0.00,GB
,,,1/28/2005 05:02PM,1,1280,1280 CARTONS FRESH YAM,16327.90,0.00,NL
,,,1/28/2005 05:18PM,1,550,FRESH YAMS(25 KGS./CTN.),5240.40,0.00,NL
,,,2/4/2005 12:37PM,1,600,600 CTNS OF FRESH YAMS,5466.93,0.00,GB
,,,1/31/2005 08:55AM,1,1000,1000 CTN S OF FRESH YAMS,12006.11,0.00,GB
,,,2/3/2005 03:12PM,1,1400,FRESH YAMS,9105.17,0.00,DE
,,,2/3/2005 03:01PM,1,458,458 CTNS YAMS (800G X 25),3338.47,0.00,GB
,,,2/3/2005 03:09PM,1,1000,1000 CTNS OF FRESH YAMS,9961.66,0.00,GB
,,,2/10/2005 04:22PM,1,3000,3000 CTNS OF FRESH YAMS,16951.02,0.00,GB
,,,2/3/2005 03:18PM,1,1200,FRESH YAMS,8776.21,0.00,GB
,,,2/3/2005 03:52PM,1,1800,FRESH YAMS,13661.86,0.00,GB
,,,2/4/2005 02:35PM,1,1000,FRESH YAMS(1000 CARTONS),11509.71,0.00,US
,,,2/5/2005 12:24PM,1,400,400 CARTON OF FRESH YAMS,5218.29,0.00,NL
,,,2/25/2005 02:34PM,1,1280,1280 CARTONS FRESH YAMS,8513.22,0.00,GB
,,,2/7/2005 11:26AM,1,1000,FRESH YAMS(25 KGS./CTN.),10933.86,0.00,GB
,,,2/7/2005 02:37PM,1,520,1X20 FT CONT. STC520 CARTONS YAMS,2369.00,0.00,GB
,,,2/7/2005 04:27PM,1,1000,1000 CTNS FRESH YAMS,10022.71,0.00,US
,,,2/8/2005 12:16PM,1,2000,FRESH YAMS,29163.04,0.00,US
,,,2/8/2005 12:16PM,1,2000,FRESH YAMS,25517.66,0.00,US
,,,2/8/2005 12:49PM,1,480,480 CARTONS FRESH YAMS,5249.35,0.00,NL
,,,2/8/2005 12:49PM,1,900,1X40`STC900 CTNS OF FRESH YAMS,10662.74,0.00,NL
,,,2/8/2005 01:57PM,1,1000,FRESH YAMS,3645.38,0.00,US
,,,2/9/2005 08:39AM,1,880,880 CARTONS FRESH YAM,10788.49,0.00,GB
,,,2/10/2005 10:40AM,1,1000,FRESH YAMS,9113.45,0.00,US
,,,2/10/2005 12:33PM,1,800,800 FRESH YAM,10207.06,0.00,GB
,,,2/11/2005 02:44PM,1,2000,FRESH YAMS(25 KGS./CTN.),21872.28,0.00,GB
,,,2/10/2005 04:45PM,1,525,FRESH  GHANAYAMS,5771.50,0.00,GB
,,,2/10/2005 06:07PM,1,800,800 CARTONS FRESH YAM,10242.24,0.00,NL
,,,2/10/2005 06:07PM,1,880,880 CARTON FRESH YAM,10105.68,0.00,GB
,,,2/10/2005 06:07PM,1,2640,2640 CARTONS OF FRESH YAM,30317.03,0.00,GB
,,,2/14/2005 12:50PM,1,280,FRESH YAMS,476.63,0.00,DE
,,,2/11/2005 01:26PM,1,1200,FRESH YAMS,25093.49,0.00,GB
,,,2/11/2005 01:26PM,1,450,FRESH YAMS,6322.81,0.00,NL
,,,2/15/2005 11:59AM,1,1000,1000 CTNS FRESH YAMS,6379.42,0.00,US
,,,2/14/2005 10:23AM,1,800,800 CTNS FRESH YAMS,6213.63,0.00,NL
,,,2/14/2005 04:54PM,1,1000,FRESH YAMS,9113.45,0.00,US
,,,2/18/2005 04:37PM,1,800,800 CTNS FRESH YAMS,4556.73,0.00,GB
,,,2/14/2005 11:41AM,1,400,FRESH YAMS,2810.14,0.00,GB
,,,2/14/2005 11:41AM,1,400,1X20' STC 400 CARTONS FRESH YAM,9367.12,0.00,NL
,,,2/23/2005 11:01AM,1,1800,2X40' STC 1800 CARTONS FRESH YAM,23018.59,0.00,NL
,,,2/15/2005 03:20PM,1,400,FRESH YAMS(10 PALLETS STC:- 400 CARTONS),3419.55,0.00,GB
,,,2/16/2005 01:48PM,2,1,YAMS,22.78,0.00,ZA
,,,7/13/2005 02:21PM,1,1800,FRESH YAMS,0.00,0.00,NL
,,,2/16/2005 04:41PM,1,550,FRESH YAMS(25 KGS./CTN.),4713.49,0.00,NL
,,,2/17/2005 01:59PM,1,1000,1000 CTN OF FRESH YAMS,10024.80,0.00,US
,,,3/23/2005 12:13PM,1,1800,FRESH YAMS,0.00,0.00,GB
,,,2/18/2005 01:16PM,1,1000,FRESH YAMS,5129.32,0.00,GB
,,,2/18/2005 01:45PM,1,250,250 BOXES FRESH GHANA YAMS(250X25KGS),1015.61,0.00,GH
,,,2/18/2005 01:53PM,1,1800,FRESH YAMS(25 KGS./CTN.),19685.05,0.00,GB
,,,2/18/2005 03:39PM,1,1200,1200 CTN OF FRESH YAMS,12823.31,0.00,GB
,,,3/10/2005 12:25PM,1,800,800 CTNS OF FRESH YAMS,5833.72,0.00,GB
,,,2/18/2005 05:03PM,1,1280,1280 CARTONS FRESH YAMS,16331.30,0.00,NL
,,,2/18/2005 06:18PM,1,800,800 CARTONS FRESH YAMS,10207.06,0.00,GB
,,,2/18/2005 06:18PM,1,520,520 CARTONS FRESH YAMS,6634.59,0.00,GB
,,,2/19/2005 12:18PM,1,900,1X40`STC 900 CARTONS FRESH YAMS,11540.97,0.00,GB
,,,2/19/2005 12:18PM,1,880,880 CARTONS FRESH YAMS,10372.27,0.00,NL
,,,3/3/2005 02:19PM,1,947,1X40' STC 660 CARTONS FRESH YAMAND 287 PKGS OF ASSORTED GOODS,4559.09,0.00,US
,,,2/21/2005 09:11AM,1,280,280 CARTONS FRESH YAM,3572.47,0.00,GB
,,,2/25/2005 10:07AM,1,900,1X40' STC 900 CTN FRESH YAM,11509.29,0.00,GB
,,,2/25/2005 10:07AM,1,500,1X20' STC 500 CARTONS FRESH YAM,6394.05,0.00,ES
,,,2/25/2005 10:48AM,1,900,1X40' STC 900 CARTONS FRESH YAM,11509.29,0.00,NL
,,,2/25/2005 02:51PM,1,2000,2000 CTNS OF FRESH YAMS(1000CTN OF PONA & 1000CTN OF WHITE,11691.98,0.00,GB
,,,2/26/2005 11:00AM,1,800,800 CARTONS FRESH YAM,10494.92,0.00,NL
,,,2/26/2005 11:00AM,1,480,480 CARTONS FRESH YAM,6228.83,0.00,GB
,,,2/26/2005 11:00AM,1,880,880 CARTONS FRESH YAM,10876.55,0.00,NL
,,,2/26/2005 11:00AM,1,1400,1400 CARTONS FRESH YAM,18167.42,0.00,GB
,,,2/28/2005 11:31AM,1,400,FRESH YAMS,4770.42,0.00,NL
,,,2/28/2005 03:07PM,1,1600,FRESH YAMS,8403.61,0.00,GB
,,,3/1/2005 11:07AM,1,1000,FRESH YAMS,13677.27,0.00,US
,,,3/1/2005 03:18PM,1,420,FRESH YAMS420 CTNS,2031.97,0.00,NL
,,,3/1/2005 04:02PM,1,800,FRESH YAMS(25 KGS./CTN.),8753.45,0.00,GB
,,,3/2/2005 11:15AM,1,1000,FRESH YAMS(1000 CARTONS),11518.09,0.00,US
,,,3/2/2005 03:16PM,1,400,400 CTNS OF FRESH YAM,5146.99,0.00,GB
,,,3/2/2005 03:16PM,1,520,520 CTNS OF FRESH YAMS,12762.28,0.00,GB
,,,3/2/2005 05:36PM,1,1000,FRESH GHANA YAMS,7294.54,0.00,US
,,,3/3/2005 10:51AM,1,480,FRESH YAMS,4650.27,0.00,IT
,,,3/3/2005 11:17AM,1,800,FRESH YAMS(25 KGS./CTN.),8753.45,0.00,GB
,,,3/3/2005 01:11PM,1,1000,FRESH YAMS,13677.27,0.00,US
,,,3/3/2005 04:59PM,1,1500,1500 CTNS OF FRESH YAMS,15045.00,0.00,US
,,,3/3/2005 05:31PM,1,880,880 CARTONS FRESH YAM,11233.60,0.00,NL
,,,3/3/2005 05:31PM,1,480,480 CARTONS FRESH YAM,7799.69,0.00,NL
,,,3/4/2005 09:30AM,1,1000,FRESH YAMS(25 KGS./CTN.),8206.36,0.00,US
,,,3/4/2005 12:18PM,1,200,FRESH YAMS,1935.21,0.00,DE
,,,3/4/2005 06:30PM,1,1600,2X40' STC 1600 CARTONS FRESHYAM,22789.79,0.00,GP
,,,3/5/2005 07:58AM,1,1030,FRESH YAMS,16412.72,0.00,US
,,,3/10/2005 01:11PM,1,1800,FRESH YAMS(25 KGS./CTN.),19688.79,0.00,GB
,,,3/10/2005 04:16PM,1,200,200 CTNS FRESH YAM 25KG PER ONE,2408.69,0.00,DE
,,,3/11/2005 01:11PM,1,1000,1000 CTNS OF YAMS( 500 CTNS OF PONA & 500 CTNS OF,11163.98,0.00,GB
,,,3/14/2005 11:08AM,1,241,FRESH YAMS,2076.44,0.00,ZA
,,,3/15/2005 12:04PM,1,1400,1400 CARTONS FRESH YAM,14721.39,0.00,GB
,,,3/15/2005 12:04PM,1,800,800 CARTONS FRESH YAM,11748.91,0.00,NL
,,,3/15/2005 12:04PM,1,880,880 CARTONS OF FRESH YAM,7000.39,0.00,NL
,,,3/15/2005 12:04PM,1,1400,1400 CARTONS FRESH YAM,16649.19,0.00,GB
,,,3/15/2005 03:19PM,1,500,FRESH YAMS,2607.30,0.00,NL
,,,3/15/2005 05:28PM,1,1000,FRESH YAMS(1000 CARTONS),11515.90,0.00,US
,,,3/16/2005 09:09AM,1,1800,FRESH YAMS,17623.37,0.00,GB
,,,3/16/2005 12:20PM,1,1000,1000 CTNS OF FRESH YAMS,9148.29,0.00,US
,,,3/18/2005 03:15PM,1,200,200 BOXES FRESH YAMS (PUNA),2734.94,0.00,DE
,,,3/16/2005 04:07PM,1,1600,FRESH YAMS,20504.79,0.00,GB
,,,3/17/2005 10:11AM,1,880,880 CARTONS FRESH YAM,9626.97,0.00,NL
,,,3/17/2005 11:43AM,1,1800,FRESH YAMS(25 KGS./CTN.),19144.55,0.00,GB
,,,3/17/2005 12:45PM,1,560,560 CARTONS FRESH YAM,12252.51,0.00,NL
,,,3/17/2005 12:45PM,1,720,720 CARTONS FRESH YAM,10502.15,0.00,GB
,,,3/17/2005 04:01PM,1,1000,FRESH YAMS(25 KGS./CTN.),8204.81,0.00,US
,,,3/17/2005 04:40PM,1,1000,1000 CTNS OF FRESH YAMS,9148.29,0.00,GB
,,,,2,1000,1000 CTNS OF PONA YAMS,11041.04,0.00,
,,,3/17/2005 06:08PM,1,900,1X40' STC 900 CARTONS FRESH YAM,9845.77,0.00,IT
,,,3/17/2005 06:19PM,1,300,1X20' STC 300 CARTONS FRESH YAM,3190.76,0.00,ZA
,,,3/31/2005 09:57AM,1,1200,FRESH YAM,0.00,0.00,GB
,,,3/22/2005 04:32PM,1,900,900 CTNS OF FRESH YAMS,12737.31,0.00,GB
,,,3/22/2005 04:32PM,1,500,500 CTNS OF FRESH YAMS,6290.03,0.00,GB
,,,3/23/2005 01:02PM,1,1040,FRESH YAMS,9094.94,0.00,NL
,,,3/24/2005 11:43AM,1,800,FRESH YAMS(25 KGS./CTN.),8753.02,0.00,GB
,,,3/24/2005 03:23PM,1,203,FRESH  GHANAYAMS,2803.70,0.00,CA
,,,3/30/2005 10:25AM,1,450,1X20' STC 450 CARTONS FRESH YAM,7386.10,0.00,ES
,,,3/30/2005 10:25AM,1,1680,1680 CARTONS FRESH YAM,27574.77,0.00,NL
,,,3/30/2005 10:25AM,1,880,880 CARTONS FRESH YAM,11412.54,0.00,NL
,,,3/30/2005 10:25AM,1,1400,1400 CARTONS FRESH YAM,18353.29,0.00,GB
,,,3/30/2005 10:25AM,1,880,880 CARTONS FRESH YAM,10107.12,0.00,GB
,,,3/30/2005 10:25AM,1,960,960 CARTONS FRESH YAM,12450.04,0.00,NL
,,,3/30/2005 10:25AM,1,1280,1280 CARTONS FRESH YAM,15877.73,0.00,GB
,,,3/30/2005 03:26PM,1,1600,FRESH  YAMS,21853.22,0.00,GB
,,,3/30/2005 03:26PM,1,1000,FRESH  YAMS,14589.82,0.00,US
,,,4/26/2005 02:45PM,1,1000,FRESH  YAMS,0.00,0.00,US
,,,3/31/2005 05:43PM,1,50,FRESH YAMS,227.97,0.00,JP
,,,4/1/2005 08:56AM,1,1500,1500 CTNS OF FRESH YAMS,15045.76,0.00,US
,,,4/1/2005 10:03AM,1,1000,FRESH  YAMS,14589.82,0.00,US
,,,4/1/2005 10:03AM,1,1000,FRESH  YAMS,12766.10,0.00,US
,,,4/1/2005 01:06PM,1,1000,1000 CTNS OF FRESH YAMS,8206.78,0.00,US
,,,4/1/2005 01:24PM,1,2000,2000 CTNS OF FRESH YAMS,21337.62,0.00,US
,,,4/1/2005 01:24PM,1,1000,1000 CTNS OF FRESH YAMS,14772.20,0.00,US
,,,4/1/2005 02:09PM,1,1800,FRESH YAMS(25 KGS./CTN.),19696.26,0.00,GB
,,,4/1/2005 02:41PM,1,500,500 CTNS X 25 KGS EACH FRESH YAMS,1823.73,0.00,US
,,,4/1/2005 04:44PM,1,880,880 CARTONS FRESH YAM,10893.78,0.00,NL
,,,4/1/2005 04:44PM,1,1400,1400 CARTONS FRESH YAM,17414.29,0.00,GB
,,,4/1/2005 04:44PM,1,880,880 CARTONS FRESH YAM,12019.27,0.00,GB
,,,4/1/2005 05:40PM,1,880,880 CARTONS FRESH YAM,11234.16,0.00,NL
,,,4/1/2005 05:40PM,1,600,600 CARTONS FRESH YAM,7112.54,0.00,GB
,,,4/4/2005 09:29AM,1,1000,1X40`STC 1000 CTNS FRESH YAMS,12379.30,0.00,IT
,,,4/4/2005 09:50AM,1,400,FRESH  YAMS,7073.89,0.00,GB
,,,4/20/2005 10:36AM,1,400,400 CARTONS OF FRESH YAMS,0.00,0.00,NL
,,,4/4/2005 04:51PM,1,215,215 CARTONS FRESH YAM,2569.46,0.00,GB
,,,4/4/2005 06:10PM,1,900,1X40`STC 900 CTNS OF FRESH YAMS,11489.49,0.00,IT
,,,4/5/2005 01:49PM,1,2000,FRESH  YAMS,26485.50,0.00,GB
,,,4/7/2005 05:27PM,1,1000,FRESH YAMS(1000 CARTONS),11518.67,0.00,US
,,,4/8/2005 02:20PM,1,640,640 CARTONS FRESH YAM,8269.43,0.00,NL
,,,4/20/2005 10:36AM,1,1477,1477 CARTYONS FRESH YAM,0.00,0.00,GB
,,,4/8/2005 02:20PM,1,1760,1760 CARTONS FRESH YAM,25070.66,0.00,GB
,,,4/8/2005 02:20PM,1,880,880 CARTONS FRESH YAM,12603.68,0.00,GB
,,,4/8/2005 02:20PM,1,620,620 CARTONS FRESH YAM,8960.64,0.00,GB
