House Code,House Heads Code,House Description,Declaration Number,Date Processed,Items Number,Number of Packages,Goods Description 1,Items Cif Ghc,Amount Paid Ghc,Country  Destination
,,,12007279824,9/27/2007 06:45PM,1,20,FRESH TUNA FISH,7297.26,0.00,US
,,,12007290163,10/6/2007 02:56PM,1,16,FRESH TUNA FISH,6049.92,0.00,NL
,,,12007290263,10/6/2007 04:50PM,1,30,FRESH TUNA FISH,11408.85,0.00,US
,,,12007290269,10/6/2007 04:58PM,1,30,FRESH TUNA FISH,10862.74,0.00,US
,,,12007290327,10/6/2007 06:16PM,1,30,FRESH YELLOFIN TUNA FISH,10725.29,0.00,US
,,,12007290333,10/6/2007 06:24PM,1,30,FRESH YELLOWFIN TUNA FISH,10937.05,0.00,US
,,,12007290337,10/6/2007 06:29PM,1,30,FRESH YELLOWFIN TUNA,11304.83,0.00,US
,,,12007290479,10/7/2007 02:50PM,1,19,FRESH  YELLOWFIN TUNA FISH,6100.08,0.00,US
,,,12007290481,10/7/2007 02:58PM,1,20,FRESH YELLOWFIN TUNA FISH,7047.41,0.00,US
0303420000,0303420000,Frozen yellowfin tunas,12006366064,1/10/2007 12:53PM,1,86,86.460 M/T FROZEN YELLOWFIN ROUNDTUNA FISH,240470.60,0.00,GH
,,,12006366069,1/10/2007 11:16AM,1,51,51.86 M/T FROZEN YELLOWFIN ROUNDTUNA FISH,96567.66,0.00,GH
,,,12006366070,1/10/2007 12:08PM,1,83,83.032 M/T FROZEN YELLOWFIN ROUNDTUNA FISH,95196.40,0.00,GH
,,,12006366074,1/10/2007 11:16AM,1,72,72.197 M/T FROZEN YELLOWFIN ROUNDTUNA FISH,103621.24,0.00,GH
,,,12007047181,2/16/2007 10:00AM,1,253,253.056 M/T FROZEN YELLOWFIN ROUNDTUNA FISH,324887.48,0.00,GH
,,,12007047182,2/16/2007 04:25PM,1,38,38.870 M/T FROZEN YELLOWFIN ROUNDTUNA FISH,47744.45,0.00,GH
,,,12007047186,2/16/2007 10:00AM,1,253,253.860 M/T FROZEN YELLOWFIN ROUNDTUNA FISH,352989.31,0.00,GH
,,,12007047188,2/16/2007 10:00AM,1,246,246.632 M/T FROZEN YELLOWFIN ROUNDTUNA FISH,334102.64,0.00,GH
,,,12007047191,2/16/2007 10:01AM,1,124,124.790 M/T FROZEN YELLOWFIN ROUNDTUNA FISH,103310.89,0.00,GH
,,,12007047192,2/16/2007 10:01AM,1,1,0.320 M/T FROZEN YELLOWFIN ROUNDTUNA FISH,344.12,0.00,GH
,,,12007163992,6/13/2007 10:39AM,1,150,150.85 M/T FROZEN YELLOWFIN ROUNDTUNA FISH,206212.55,0.00,GH
0303430000,0303430000,Frozen skipjack or stripe-bellied bonito,12006366064,1/10/2007 12:53PM,2,532,532.460 M/T FROZEN SHIPJACK ROUND,953514.97,0.00,GH
,,,12006366069,1/10/2007 11:16AM,2,787,787.32 M/T FROZEN SHIPJACK ROUNDTUNA FISH,940269.78,0.00,GH
,,,12006366070,1/10/2007 12:08PM,2,515,515.479 M/T FROZEN SHIPJACKROUND TUNA FISH,482951.57,0.00,GH
,,,12006366074,1/10/2007 11:16AM,2,1289,1289.193 M/T FROZEN SHIPJACK ROUNDTUNA FISH,1175101.75,0.00,GH
,,,12007047181,2/16/2007 10:00AM,2,2068,2068.670 M/T FROZEN SHIPJACK ROUNDTUNA FISH,1501658.25,0.00,GH
,,,12007047182,2/16/2007 04:25PM,2,307,307.040M/T FROZEN SHIPJACK ROUNDTUNA FISH,248832.50,0.00,GH
,,,12007047186,2/16/2007 10:00AM,2,1168,1168.490M/T FROZEN SHIPJACK ROUNDTUNA FISH,850404.79,0.00,GH
,,,12007047188,2/16/2007 10:00AM,2,1607,1607.702M/T FROZEN SHIPJACK ROUNDTUNA FISH,1291769.66,0.00,GH
,,,12007047191,2/16/2007 10:01AM,2,364,364.406 M/T FROZEN SHIPJACK ROUNDTUNA FISH,282804.76,0.00,GH
,,,12007047192,2/16/2007 10:01AM,2,348,348.200M/T FROZEN SHIPJACK ROUNDTUNA FISH,280984.92,0.00,GH
,,,12007163992,6/13/2007 10:39AM,2,1258,1258.35 M/T FROZEN SHIPJACK ROUNDTUNA FISH,1109868.73,0.00,GH
0303490000,0303490000,"Frozen tunas, nes",12007153379,6/1/2007 02:24PM,1,892,892CTNS OF TUNA LOINS,70308.17,0.00,ES
,,,12007163991,6/13/2007 10:39AM,1,500,500.863 M/T BULK FROZEN TUNA FISH(FROZEN SKIPJACK ROUND),431299.89,0.00,GH
,,,12007202075,7/20/2007 12:12PM,1,171430,171.430 MT BULK FROZEN TUNA FISH,172499.60,0.00,CI
,,,12007202082,7/20/2007 12:12PM,1,1361740,"1,361.740 MT BULK FROZEN TUNA FISH",1406655.50,0.00,CI
,,,12007202091,7/20/2007 12:13PM,1,1625783,"1,625.783 MT BULK FROZEN TUNA FISH",1701083.88,0.00,CI
,,,12007202097,7/20/2007 12:13PM,1,251450,251.450 MT BULK FROZEN TUNA FISH,256156.94,0.00,CI
,,,12007232988,8/17/2007 12:09PM,1,1063590,"1,063.590 M/T BULK FROZEN TUNA FISH",1226085.24,0.00,CI
,,,12007232992,8/17/2007 12:09PM,1,551128,551.128M/T BULK FROZEN TUNA FISH,623947.14,0.00,CI
,,,12007232996,8/17/2007 12:10PM,1,360480,360.480M/T BULK FROZEN TUNA FISH,418707.30,0.00,CI
,,,12007291434,10/8/2007 03:54PM,1,1218,1218.660 M/T FROZEN YELLOWFIN &SKIPJACK ROUND TUNA FISH,1523241.30,0.00,CI
,,,12007291435,10/8/2007 03:54PM,1,785566,785566 M/T FROZEN YELLOWFIN &SKIPJACK ROUND,1170983.76,0.00,CI
,,,12007291436,10/8/2007 03:54PM,1,190339,190.339 M/T FROZEN TUNA FISH,266391.21,0.00,CI
,,,12007322449,11/6/2007 11:38AM,1,443410,443.410 M/T FROZEN TUNA FISH,553499.75,0.00,CI
,,,12007351121,11/29/2007 01:39PM,1,481670,481.670 M/T BULK FROZEN FISH,676571.08,0.00,CI
,,,12007351122,11/29/2007 01:39PM,1,588910,588.910 M/T BULK FROZEN FISH,849018.68,0.00,CI
,,,12007351123,11/29/2007 01:39PM,1,851710,851710 M/T BULK FROZEN FISH,1073795.07,0.00,CI
0303750000,0303750000,Frozen dogfish and sharks,12007208987,7/27/2007 12:50PM,2,32700,"32,700 TONS BLUE SHARK",18331.51,0.00,PT
0303790000,0303790000,"Frozen fish, nes",12007003428,1/5/2007 01:05PM,1,6004,6 X 40' CONTS. STC 6004 CTNSASSORTED FROZEN FISH,115499.53,0.00,ES
,,,12007011215,1/12/2007 02:34PM,1,6452,6 X 40' AND 1 X 20' CONTS STC 6452CTNS ASSORTED FROZEN FISH,345502.01,0.00,ES
,,,12007021712,1/23/2007 01:41PM,1,3451,3 X 40' AND 1 X 20' CONTS STC3451 CTNS ASSORTED FROZEN,95607.51,0.00,ES
,,,12007061622,3/2/2007 10:28AM,1,80,80 TONS ASSORTED LOOSED FROZENFISH,44659.74,0.00,PT
,,,12007066367,3/28/2007 04:24PM,1,6570,7 X 40' & 1 X 20' CONTS. STC 6570CTNS ASSORTED FROZEN FISH,375519.12,0.00,ES
,,,12007075290,3/28/2007 12:21PM,1,8431,8 X 40' CONTS. STC 8431 CTNSASSORTED FROZEN FISH,331939.17,0.00,ES
,,,12007081122,3/22/2007 09:26AM,1,80,80 TONS ASSORTED LOOSED FROZENFISH,44714.40,0.00,PT
,,,12007095042,4/19/2007 03:23PM,1,4082,4 X 40' CONTS. STC 4082 CTNSASSORTED FROZEN FISH,161506.32,0.00,ES
,,,12007095387,4/19/2007 03:24PM,1,2149,2 X 40' CONTS. STC 2149 CTNSASSORTED FROZEN FISH,85583.15,0.00,ES
,,,12007125919,5/5/2007 10:45AM,1,3736,4 X 40' CONTS STC 3736 CTNSASSORTED FROZEN FISH,141006.07,0.00,ES
,,,12007141979,5/21/2007 04:18PM,1,2527,3 X 40' CONTS. STC 2527 CTNSASSORTED FROZEN FISH,147482.53,0.00,ES
,,,12007144599,5/23/2007 02:14PM,1,490,1 X 40' CONT. STC 490 CTNSASSORTED FROZEN FISH,19633.92,0.00,ES
,,,12007147643,5/29/2007 10:06AM,1,1,1 LOT ASSORTED FROZEN FISH(67.720 TONS),37941.89,0.00,PT
,,,12007150917,5/31/2007 03:02PM,1,197,197 CARTONS GROUPER FROZEN FISH,4245.57,0.00,PA
,,,,,2,35,35 CTNS RED MULLET FROZEN FISH,600.79,0.00,
,,,,,3,339,339 CTNS DENTON FROZEN FISH,5017.75,0.00,
,,,12007160134,6/8/2007 01:53PM,1,353,353 CTNS FROZEN FISH,37771.96,0.00,ES
,,,12007161412,6/11/2007 10:56AM,1,790,1 X 40 CONT. STC 790 CTNS AND32 SACKS ASSORTED FROZEN FISH,31729.38,0.00,ES
,,,12007166617,6/15/2007 10:42AM,1,80,80 TONS ASSORTED LOOSED FROZENFISH,44823.35,0.00,PT
,,,12007167170,6/15/2007 03:00PM,1,411,1 X 40' CONT. STC 411 CTNSASSORTED FROZEN FISH,23291.93,0.00,ES
,,,12007186986,7/6/2007 01:04PM,1,713,1 X 40' CONT. STC 713 CTNS& 77 SACKS OF ASSORTED FROZEN,33167.92,0.00,ES
,,,12007201756,7/26/2007 04:12PM,1,634,1 X 40' CONT. STC 634 CTNSASSORTED FROZEN FISH,36459.84,0.00,ES
,,,12007214971,8/2/2007 01:42PM,1,670,1 X 40' CONT. STC 670 CTNSASSORTED FROZEN FISH,28282.64,0.00,ES
,,,12007237209,8/22/2007 08:55AM,2,41,41 CTNS FROZEN CUTTLE FISH(902 KGS),1013.58,0.00,GR
,,,12007246951,8/30/2007 10:35AM,1,578,1 X 40' CONT. STC 578 CTNS ASSORTEDFROZEN FISH,35268.50,0.00,ES
,,,12007253638,9/5/2007 02:50PM,1,1250,1250 CTNS X 20KGS FROZEN SARDINELLA(25000KGS),27184.82,0.00,MY
,,,12007259348,9/11/2007 12:04PM,1,955,1 X 40' CONT. STC 955 CTNSASSORTED FROZEN FISH,40073.65,0.00,ES
,,,12007270017,9/19/2007 04:40PM,1,1252,1252 CTNS FROZEN FISH(27243 KGS),34906.56,0.00,PA
,,,12007276827,9/26/2007 09:35AM,1,80,80 TONS ASSORTED FROZEN FISH,45401.22,0.00,PT
,,,12007280567,9/28/2007 01:15PM,1,2217,2217 CTNS FROZEN FISH43816 KGS,53656.85,0.00,PA
,,,12007288427,10/5/2007 10:28AM,1,3606,1 X 20' & 3 X 40' CONTS. STC 3606CTNS ASSORTED FROZEN FISH,151717.81,0.00,ES
,,,12007296092,10/11/2007 03:40PM,1,3122,3 X 40' CONTS. STC 3122 CTNSASSORTED FROZEN FISH,194217.40,0.00,ES
,,,12007302963,10/19/2007 10:32AM,1,2968,3 X 40' CONTS. STC 2968 CTNSASSORTED FROZEN FISH,125124.17,0.00,ES
,,,12007313122,10/29/2007 12:08PM,1,949,1 X 40' CONT. STC 949 CTNSASSORTED FROZEN FISH,40659.01,0.00,ES
,,,12007320825,11/5/2007 09:49AM,2,32,32 CTNS FROZEN FISH,806.13,0.00,GR
,,,12007321126,11/5/2007 11:49AM,1,3192,4 X 40' CONTS. STC 3192 CTNSASSORTED FROZEN FISH,201771.95,0.00,ES
,,,12007329239,11/12/2007 11:10AM,1,979,1 X 40' CONT. STC 979 CTNSASSORTED FROZEN,42611.96,0.00,ES
,,,12007334084,11/15/2007 01:21PM,1,694,1 X 40' CONT. STC 694 CTNSASSORTED FROZEN FISH,29634.91,0.00,ES
,,,12007346859,11/27/2007 03:33PM,1,1204,1204 CTNS FROZEN FISH,34084.68,0.00,PA
,,,12007363574,12/10/2007 11:37AM,1,1396,2 X 40' CONTS. STC 1396 CTNSASSORTED FROZEN FISH,88900.96,0.00,ES
,,,12007371841,12/14/2007 10:45AM,1,1084,1 X 40' CONT. STC 1084 CTNSASORTED FROZEN FISH,48373.47,0.00,ES
,,,12007377861,12/20/2007 11:54AM,1,816,1 X 40' CONT. STC 816 CTNSASSORTED FROZEN FISH,36287.82,0.00,ES
,,,12007383085,12/21/2007 01:22PM,1,670,1 X 40' CONT. STC 670 CTNSASSORTED FROZEN FISH,40953.50,0.00,ES
,,,12007388033,12/27/2007 11:28AM,1,555,1 X 40' CONT. STC 555 CTNSASSORTED FROZEN FISH,32985.84,0.00,ES
0305300000,0305300000,"Fish fillets, dried, salted or in brine, but not smoked",12007318341,11/19/2007 01:52PM,5,18,18 BAGS FISH,172.69,0.00,CA
,,,12007377813,12/18/2007 01:29PM,4,2,2 CTNS SALTED FISH,0.97,0.00,US
0305590000,0305590000,"Dried fish, not smoked (excl. cod)",12007153730,6/1/2007 05:17PM,1,1,SMOKED AND DRIED FISH(FOOD ITEMS),93.15,0.00,US
0305690000,0305690000,"Fish salted or in brine but not dried or smoked - other, nes",12007197080,7/16/2007 03:44PM,2,214,FROZEN FISH,4471.20,0.00,ES
,,,12007197083,7/16/2007 03:44PM,2,156,FROZEN FISH,3912.30,0.00,ES
,,,12007197088,7/16/2007 03:44PM,2,39,FROZEN FISH,978.08,0.00,ES
0306130000,0306130000,Frozen shrimps and prawns,12007200207,7/19/2007 08:40AM,1,503,503 CTNS SHRIMPS,38241.63,0.00,GR
,,,12007315421,10/30/2007 04:51PM,1,8616,8616 KGS FROZEN SHRIMPS 718,32878.66,0.00,ES
,,,12007320825,11/5/2007 09:49AM,1,584,584 CTNS FROZEN SHRIMPS,45462.87,0.00,GR
,,,12007349090,11/28/2007 12:28PM,1,8268,8268 KGS FROZEN SHRIMPS(689 X 12 KGS),47445.09,0.00,ES
0306140000,0306140000,Frozen crabs,12007029552,1/30/2007 05:09PM,1,7,7 TONS FROZEN SEA CRABS,8386.23,0.00,PT
,,,12007061603,3/2/2007 10:22AM,1,6,6 TONS FROZEN SEA CRABS,7338.98,0.00,PT
,,,12007111877,4/20/2007 01:21PM,1,12,12.225 TONS FROZEN CRAB,11375.91,0.00,PT
,,,12007160296,6/8/2007 03:01PM,1,6580,6580 KGS FROZEN SEA CRABS,8244.29,0.00,PT
,,,12007172602,6/21/2007 09:52AM,1,1400,7000 KGS FROZEN SEA CRABS,8737.85,0.00,PT
,,,12007208991,7/27/2007 12:51PM,1,4000,4000 KGS FROZEN SEA CRABS(800 CTNS),14912.00,0.00,PT
,,,12007235842,8/21/2007 10:51AM,1,8750,8750 KGS ASSORTED LOOSEDFROZN CRABS (1750 BOXES),32756.50,0.00,PT
,,,12007302799,10/19/2007 09:24AM,1,2300,"2300 CTNS FROZEN SEA CRABS(18,400 KGS)",69713.92,0.00,PT
,,,12007321795,11/6/2007 08:25AM,1,12000,12000 KGS FROZEN SEA CRABS(1500 CTNS X 8 KGS),45955.20,0.00,PT
,,,12007392279,12/31/2007 11:15AM,1,1500,"FROZEN SEA CRABS - 12,000 KGS(1500 CARTONS X 8 KGS)",46579.20,0.00,PT
0306230000,0306230000,Shrimps and prawns (excl. frozen),12007237209,8/22/2007 08:55AM,1,519,519 CTNS FROZEN SHRIMPS(8304 KGS),39635.37,0.00,GR
0307410000,0307410000,"Cuttle fish and squid, live, fresh or chilled",12007150917,5/31/2007 03:02PM,5,807,807 CTNS CUTTLE FROZEN FISH,24525.21,0.00,PA
,,,12007197088,7/16/2007 03:44PM,4,28,FROZEN CUTTLEFISH,433.15,0.00,ES
,,,12007200207,7/19/2007 08:40AM,2,11,11 CTNS CUTTLE FISH,271.12,0.00,GR
0307490000,0307490000,"Cuttle fish and squid (excl. live, fresh or chilled)",12007197079,7/16/2007 03:44PM,4,20,FROZEN CUTTLEFISH,311.87,0.00,ES
0307510000,0307510000,"Octopus live, fresh or chilled",12007150917,5/31/2007 03:02PM,4,782,782 CTNS OCTOPUS FROZEN FISH,22728.43,0.00,PA
0307590000,0307590000,"Octopus (excl. live, fresh or chilled)",12007197079,7/16/2007 03:44PM,5,3,FROZEN OCTOPUS,37.45,0.00,ES
,,,12007197088,7/16/2007 03:44PM,5,3,FROZEN OCTOPUS,46.58,0.00,ES
0307600000,0307600000,Snails other than sea snails,12007118091,4/26/2007 04:03PM,2,15,SNAILS,186.58,0.00,GB
0402291000,0402291000,"Milk&Cream, pkg >= 25 kg - other, nes",12007272280,9/21/2007 12:17PM,3,53,53 CTNS ASSORTED PROVISIONS (MILK),1812.04,0.00,ZA
,,,12007340289,11/21/2007 09:50AM,14,2,2 PCS OF IDEAL MILK,32.76,0.00,CH
0402292900,0402292900,"Milk&Cream, pkg < 25 kg - other, nes",12007060585,3/1/2007 12:38PM,2,4,4 DOZENS OF IDEAL MILK,100.00,0.00,BF
0405100000,0405100000,Butter,12007159773,6/8/2007 11:33AM,5,1,1 CASE SHEA BUTTER,326.02,0.00,GB
,,,12007340289,11/21/2007 09:50AM,22,2,2 PC OF SHEA BUTTER,1.06,0.00,CH
,,,12007348008,11/27/2007 03:51PM,4,30,30 CTNS SHEA BUTTER,435.42,0.00,US
0405900000,0405900000,"Butter, fats and oils derived from milk; dairy spreads - other, nes",12007165126,6/14/2007 09:35AM,1,781,781 CTNS  SHEA BUTTER,32294.76,0.00,NL
,,,12007207799,7/26/2007 01:08PM,1,1,SHEA BUTTER,186.40,0.00,US
0407000001,0407000001,Eggs for hatching,12007258529,9/10/2007 04:12PM,9,1,GRANDE N EGGS,32.78,0.00,ZA
0409000000,0409000000,Natural honey,12007337622,11/19/2007 11:47AM,1,1,HONEY,143.91,0.00,US
0501000000,0501000000,"Human hair and waste, unworked",12007082149,3/22/2007 03:25PM,18,1,1 CTN WIGS,71.55,0.00,US
0602900000,0602900000,"Live plants - other, nes",12007369057,12/12/2007 05:05PM,1,42,CUT FLOWERS,3687.52,0.00,NL
0603100000,0603100000,Fresh cut flowers and buds,12007007806,1/10/2007 11:10AM,1,8,CUT FLOWERS (MONSTERA DELICIOSALEAF),740.95,0.00,NL
,,,12007019855,1/22/2007 09:29AM,1,10,CUT FLOWERS,1111.09,0.00,NL
,,,12007024521,1/25/2007 11:42AM,1,12,CUT FLOWERS,1333.31,0.00,NL
,,,12007034549,2/5/2007 09:48AM,1,6,CUT FLOWERS,179.71,0.00,NL
,,,12007034554,2/5/2007 09:48AM,1,25,CUT FLOWERS,2781.82,0.00,NL
,,,12007037028,2/7/2007 08:53AM,1,50,CUT FLOWERS,4637.05,0.00,NL
,,,12007038962,2/8/2007 12:25PM,1,50,CUT FLOWERS,4637.05,0.00,NL
,,,12007046801,2/15/2007 04:53PM,1,65,CUT FLOWERS,5147.87,0.00,NL
,,,12007052036,2/21/2007 12:10PM,1,45,CUT FLOWERS,4174.57,0.00,NL
,,,12007056280,2/26/2007 11:43AM,1,55,CUT FLOWERS,5102.25,0.00,NL
,,,12007056318,2/26/2007 11:57AM,1,12,CUT FLOWERS,5102.25,0.00,NL
,,,12007059743,2/28/2007 03:42PM,1,45,CUT FLOWERS,4176.41,0.00,NL
,,,12007065543,3/8/2007 01:18PM,1,55,FRESH CUT FLOWERS,4181.11,0.00,NL
,,,12007065552,3/8/2007 01:22PM,1,55,FRESH CUT FLOWERS,5249.62,0.00,NL
,,,12007073357,3/15/2007 11:53AM,1,67,FRESH CUT FLOWERS,5250.13,0.00,NL
,,,12007073400,3/15/2007 12:19PM,1,45,CUT FLOWERS,4181.52,0.00,NL
,,,12007073415,3/15/2007 12:19PM,1,45,CUT FLOWERS,4762.29,0.00,NL
,,,12007075682,3/16/2007 04:26PM,1,50,CUT FLOWERS,4646.14,0.00,NL
,,,12007079544,3/21/2007 09:27AM,1,41,CUT FLOWERS,3828.42,0.00,ZA
,,,12007079618,3/21/2007 09:49AM,1,60,CUT FLOWERS,4762.29,0.00,NL
,,,12007083599,3/23/2007 02:51PM,1,55,CUT FLOWERS,4353.43,0.00,NL
,,,12007091094,3/30/2007 12:17PM,1,75,CUT FLOWERS,7013.57,0.00,NL
,,,12007092914,4/2/2007 11:36AM,1,85,CUT FLOWERS,7092.64,0.00,NL
,,,12007092975,4/2/2007 12:00PM,1,45,CUT FLOWERS,4650.91,0.00,NL
,,,12007094697,4/3/2007 02:21PM,1,80,CUT FLOWERS,6048.54,0.00,NL
,,,12007101963,4/12/2007 09:13AM,1,40,CUT FLOWERS,2977.74,0.00,NL
,,,12007108540,4/18/2007 10:45AM,1,40,CUT FLOWERS,2977.74,0.00,NL
,,,12007113030,4/23/2007 08:30AM,1,40,CUT FLOWERS,2977.74,0.00,NL
,,,12007113031,4/23/2007 08:30AM,1,85,CUT FLOWERS,6364.93,0.00,NL
,,,12007115358,4/24/2007 05:52PM,1,40,CUT FLOWERS,3052.19,0.00,NL
,,,12007116387,4/25/2007 04:06PM,1,40,CUT FLOWERS,2978.18,0.00,NL
,,,12007118690,4/27/2007 10:38AM,1,50,CUT FLOWERS,4583.61,0.00,NL
,,,12007121620,5/2/2007 09:57AM,1,50,CUT FLOWERS,2138.60,0.00,NL
,,,12007121627,5/2/2007 09:58AM,1,60,CUT FLOWERS,5584.36,0.00,NL
,,,12007124642,5/4/2007 10:25AM,1,70,CUT FLOWERS,6608.16,0.00,NL
,,,12007127883,5/8/2007 11:48AM,1,40,CUT FLOWERS,2978.62,0.00,NL
,,,12007127895,5/8/2007 11:48AM,1,76,CUT FLOWERS,3064.72,0.00,NL
,,,12007129568,5/9/2007 10:42AM,1,50,CUT FLOWERS,3797.74,0.00,NL
,,,12007132107,5/11/2007 09:08AM,1,83,CUT FLOWERS,6292.33,0.00,NL
,,,12007136591,5/16/2007 08:25AM,1,30,CUT FLOWERS,3350.94,0.00,NL
,,,12007141388,5/21/2007 10:38AM,1,41,CUT FLOWERS,4579.62,0.00,NL
,,,12007145560,5/24/2007 11:37AM,1,45,CUT FLOWERS,5027.89,0.00,NL
,,,12007145561,5/24/2007 11:37AM,1,45,CUT FLOWERS,7374.24,0.00,NL
,,,12007147707,5/28/2007 12:26PM,1,60,CUT FLOWERS,7374.24,0.00,NL
,,,12007148527,5/29/2007 10:40AM,1,38,CUT FLOWERS,4470.98,0.00,NL
,,,12007152731,6/1/2007 10:15AM,1,17,CUT FLOWERS,1900.17,0.00,NL
,,,12007157508,6/6/2007 01:18PM,1,17,CUT FLOWERS,1900.24,0.00,NL
,,,12007159993,6/8/2007 12:50PM,1,21,CUT FLOWERS,2459.14,0.00,NL
,,,12007231403,8/16/2007 12:30PM,1,15,FRESH CUT FLOWERS,1699.92,0.00,NL
,,,12007239501,8/23/2007 01:11PM,1,11,FRESH CUT FLOWERS,2246.16,0.00,NL
,,,12007244150,8/28/2007 12:43PM,1,20,FRESH CUT FLOWERS,2246.64,0.00,NL
,,,12007253296,9/5/2007 12:57PM,1,20,FRESH CUT FLOWERS,2247.84,0.00,NL
,,,12007253305,9/5/2007 12:57PM,1,20,FRESH CUT FLOWERS,3559.08,0.00,NL
,,,12007263895,9/14/2007 09:18AM,1,20,FRESH CUT FLOWERS,2607.36,0.00,NL
,,,12007263896,9/14/2007 09:18AM,1,23,FRESH CUT FLOWERS,3001.28,0.00,NL
,,,12007266132,9/17/2007 09:19AM,1,30,FRESH CUT FLOWERS,3901.66,0.00,NL
,,,12007267776,9/18/2007 11:58AM,1,30,FRESH CUT FLOWERS,3919.97,0.00,NL
,,,12007272265,9/21/2007 12:16PM,1,30,FRESH CUT FLOWERS,3392.28,0.00,NL
,,,12007282335,10/1/2007 10:06AM,1,30,FRESH CUT FLOWERS,3396.60,0.00,NL
,,,12007282350,10/1/2007 10:06AM,1,21,FRESH CUT FLOWERS,3396.60,0.00,NL
,,,12007282355,10/1/2007 10:06AM,1,38,FRESH CUT FLOWERS,4302.36,0.00,NL
,,,12007285310,10/3/2007 09:18AM,1,30,FRESH CUT FLOWERS,3403.08,0.00,NL
,,,12007288874,10/5/2007 12:33PM,1,36,FRESH CUT FLOWERS,4083.70,0.00,NL
,,,12007291991,10/9/2007 10:34AM,1,26,FRESH CUT FLOWERS,2461.42,0.00,NL
,,,12007296941,10/12/2007 12:11PM,1,36,FRESH CUT FLOWERS,4089.74,0.00,NL
,,,12007299869,10/17/2007 11:03AM,1,26,FRESH CUT FLOWERS,4091.90,0.00,NL
,,,12007302762,10/19/2007 08:50AM,1,36,FRESH CUT FLOWERS,4091.90,0.00,NL
,,,12007309319,10/25/2007 09:03AM,1,20,FRESH CUT FLOWERS,2283.84,0.00,NL
,,,12007309320,10/25/2007 09:03AM,1,36,FRESH CUT FLOWERS,4110.91,0.00,NL
,,,12007309321,10/25/2007 09:03AM,1,36,FRESH CUT FLOWERS,2474.16,0.00,NL
,,,12007309322,10/25/2007 09:03AM,1,29,FRESH CUT FLOWERS,3311.57,0.00,NL
,,,12007309323,10/25/2007 09:03AM,1,36,FRESH CUT FLOWERS,4110.91,0.00,NL
,,,12007313114,10/29/2007 12:08PM,1,36,FRESH CUT FLOWERS,4110.91,0.00,NL
,,,12007316494,10/31/2007 12:49PM,1,36,FRESH CUT FLOWERS,4121.28,0.00,NL
