House Code,House Heads Code,House  Description,Date Processed,Items Number,Number of Packages,Goods Descriptions 1,Items Cif Ghc,Amount Paid Ghc,Country  Destination
,,,6/13/2008 11:45AM,1,692964,692.964 M/T BULK FROZEN TUNA FISH[FROZEN SKIP JACK ROUND & YELLOW,939861.45,0.00,CI
,,,6/13/2008 11:45AM,1,168540,168.540 METRIC TONSFROZEN SKIP JACK ROUND,235380.86,0.00,CI
,,,6/13/2008 11:45AM,1,2275417,"2,275.417 METRIC TONSBULK FROZEN TUNA FISH",3223866.73,0.00,CI
0303750000,0303750000,Frozen dogfish and sharks,1/25/2008 03:23PM,1,80,80 TONS 1 LOT LOOSE FROZENBULE SHARKS,47152.79,0.00,PT
,,,3/10/2008 12:39PM,1,120,120 TONS 1 LOT LOOSE FROZENBLUE SHARKS,70989.03,0.00,PT
,,,7/23/2008 12:20PM,1,105,105 TONS  1 LOT LOOSE FROZENBLUE SHARKS,66461.16,0.00,PT
,,,9/1/2008 12:52PM,1,1,1 LOT FROZEN  SORD FISH &SHARKS FISH,30441.40,0.00,PT
,,,,2,1,1 LOTE FROZEN SHARKS LIVER,49439.50,0.00,
,,,9/25/2008 02:02PM,1,24000,24000 KGS FROZEN BLUE SHARK,0.00,0.00,PT
0303790000,0303790000,"Frozen fish, nes",1/18/2008 02:54PM,1,1050,1 X 40' CONT. STC 1050 CTNSASSORTED FROZEN,42932.24,0.00,ES
,,,1/23/2008 03:13PM,1,1396,2 X 40' CONTS. STC 1396 CTNSASSORTED FROZEN,95208.06,0.00,ES
,,,1/24/2008 01:18PM,1,920,1 X 40' CONT. STC 920 CTNSASSORTED FROZEN FISH,36557.13,0.00,ES
,,,1/30/2008 03:25PM,1,835,1 X 40' CONT. STC 835 CTNS ASSORTEDFROZEN FISH,33388.55,0.00,ES
,,,1/30/2008 03:25PM,1,518,1 X 40' CONT. STC 518 CTNSASSORTED FROZEN FISH,20668.50,0.00,ES
,,,1/30/2008 03:25PM,1,1005,1 X 40' CONT. STC 1005 CTNSASSORTED FROZEN FISH,41337.97,0.00,ES
,,,2/28/2008 09:20AM,1,2126,3 X 40' CONTS. STC 2126 CTNSASSORTED FROZEN FISH,141427.91,0.00,ES
,,,3/17/2008 11:57AM,1,4279,4 X 40' CONTS. STC 4279 CTNSASSORTED FROZEN FISH,294255.56,0.00,ES
,,,3/18/2008 03:30PM,1,4216,4 X 40' CONTS. STC 4216 CTNSASSORTED FROZEN FISH,246465.12,0.00,ES
,,,3/27/2008 11:18AM,2,176,176 CTNS  FROZEN FISH,4191.60,0.00,GR
,,,4/4/2008 11:40AM,1,4013,4 X 40' CONTS. STC 4013 CTNSASSORTED FROZEN FISH,236199.73,0.00,ES
,,,4/10/2008 03:55PM,1,577,577 CTNS FROZEN FISH(13123 KGS),17494.73,0.00,PA
,,,4/16/2008 02:29PM,1,2392,2 X 40' AND 1 X 20' CONTS. STC 2392CTNS ASSORTED FROZEN FISH,140758.63,0.00,ES
,,,4/25/2008 12:39PM,1,455,1 X 40' CONT. STC 455 CTNSASSORTED FROZEN FISH,28211.54,0.00,ES
,,,5/7/2008 04:48PM,1,5259,6 X 40' CONTS. STC 5259 CTNSASSORTED FROZEN FISH,348727.65,0.00,ES
,,,6/17/2008 11:48AM,1,8,"FISH (DRY FISH, FRIED FISH, )",30.66,0.00,DE
,,,7/23/2008 12:20PM,2,20,20 TONS 1 LOT LOOSE FROZENSORD FISH,12659.17,0.00,PT
,,,8/26/2008 11:28AM,1,1431,2 X 40' CONTS. STC 1431 CTNSASSORTED FROZEN FISH FOR EXPORT,64876.85,0.00,ES
,,,9/10/2008 10:18AM,1,574,1 X 20' CONT. STC 574 CTNS ASSORTEDFROZEN FISH FOR EXPORT,43125.19,0.00,ES
,,,9/13/2008 10:32AM,1,25974,25974 KGS FROZEN CUTTLEFISH,0.00,0.00,CN
,,,9/16/2008 01:30PM,1,874,1 X 40' CONT. STC 874 CTNS ASSORTEDFROZEN FISH FOR EXPORT,63413.43,0.00,ES
,,,9/23/2008 01:16PM,1,992,1 X 40' CONT. STC 992 CTNS ASSORTEDFROZEN FISH FOR EXPORT,72187.32,0.00,ES
,,,9/25/2008 09:23AM,1,380,1 X 20' CONT. STC 380 CTNS ASSORTEDFROZEN FISH FOR EXPORT,2968.46,0.00,ES
,,,10/13/2008 04:17PM,1,2,FROZEN  FISH( SAMPLE ),457.32,0.00,JP
,,,10/22/2008 10:38AM,1,1041,1 X 40' CONT. STC 1041 CTNSASSORTED FROZEN FISH FOR,78643.78,0.00,ES
,,,11/11/2008 03:47PM,1,900,900 CTNS FROZEN CUTTLE FISH,20540.52,0.00,CN
,,,11/20/2008 02:35PM,1,1913,2 X 40' CONTS. STC 1913 CTNSASSORTED FROZEN FISH FOR EXPORT,143759.48,0.00,ES
,,,11/20/2008 02:35PM,1,1050,1 X 40' CONT. STC 1050 CTNSASSORTED FROZEN FISH FOR EXPORT,67087.68,0.00,ES
,,,11/25/2008 09:56AM,1,1166,"1 X40""CONT.STC1166CTNS ASSORTEDFROZEN FISH",81794.50,0.00,ES
,,,12/4/2008 01:46PM,1,525,1 X 20FT CONTAINER S.T.C525 CTNS OF FROZEN FISH,12253.18,0.00,CN
,,,12/10/2008 12:13PM,1,1690,2 X 40' CONTS. STC 1690 CTNSASSORTED FROZEN FISH FOR,130466.11,0.00,ES
,,,12/18/2008 12:38PM,1,631,1 X 40' CONT. STC 631 CTNSASSORED FROZEN FISH FOR EXPORT,42974.09,0.00,ES
,,,12/19/2008 01:11PM,1,607,1 X 40' CONT. STC 607 CTNSASSORTED FROZEN FISH FOR EXPORT,42974.09,0.00,ES
0303800000,0303800000,Frozen fish livers and roes,9/25/2008 02:02PM,2,18000,18000 KGS FROZEN SHARK LIVER,0.00,0.00,PT
0305490000,0305490000,Smoked fish (excl. salmon and herrings),7/14/2008 12:50PM,1,1,SMOKED FISH(PERSONAL USE),106.23,0.00,US
0306130000,0306130000,Frozen shrimps and prawns,2/15/2008 08:15AM,1,8928,8928 KGS FROZEN SHRIMPS,51018.16,0.00,ES
,,,3/20/2008 08:17AM,1,8484,8484 KGS FROZEN SHRIMPS,33430.35,0.00,ES
,,,3/27/2008 11:18AM,1,666,666 CTNS FROZEN SHRIMPS,53536.24,0.00,GR
,,,5/29/2008 12:34PM,1,8484,8484 KGS FROZEN SHRIMPS,0.00,0.00,ES
,,,9/26/2008 10:01AM,1,813,813 CTNS FROZEN SHRIMPS,75653.00,0.00,GR
0306140000,0306140000,Frozen crabs,1/22/2008 08:45AM,1,1500,1500 CTNS ASSORTED FROZENSEA CRABS,47035.20,0.00,PT
,,,4/18/2008 10:20AM,1,2800,2800 BOXES X 8 KGSFROZEN SEA CRABS,88551.68,0.00,PT
,,,4/18/2008 10:21AM,1,1500,1500 BOXES X 8 KGSFROZEN SEA CRABS,47438.40,0.00,PT
,,,8/18/2008 11:55AM,1,2300,2300 KGS FROZEN SEA CRABS,0.00,0.00,PT
,,,8/19/2008 09:59AM,1,800,800 BOXES FROZEN SEA CRABS,0.00,0.00,PT
,,,10/13/2008 08:07AM,1,850,"850 CTNS X 8KGS FROZEN CRABS(6,800 KGS)",31097.76,0.00,PT
0307490000,0307490000,"Cuttle fish and squid (excl. live, fresh or chilled)",9/26/2008 10:01AM,2,21,21 CTNS FROZEN CUTTLE FISH,634.06,0.00,GR
0307590000,0307590000,"Octopus (excl. live, fresh or chilled)",9/26/2008 10:01AM,3,1,1 CTN FROZEN OCTOPUS,30.79,0.00,GR
0402291000,0402291000,"Milk&Cream, pkg >= 25 kg - other, nes",5/9/2008 12:23PM,4,255,255 PKGS. ASSORTED PROVISIONS(MILK),354.08,0.00,ZA
,,,8/13/2008 12:38PM,3,383,383 CARTONS OF ASSORTED PROVISIONS,0.00,0.00,ZA
,,,11/11/2008 05:16PM,3,120,120 PKGS. ASSORTED PROVISION,10455.43,0.00,ZA
0402910000,0402910000,"Milk&Cream, not sweetened, not solid - other, nes",12/10/2008 08:39AM,2,720,720 TRAYS OF GLORIA FCRM MILK EVP24X410 G,18068.04,0.00,NE
,,,,3,92,47 TRAYS OF CARNATION FULL CREAMMILK 24X170G & 45 TRAYS OF FULL,1509.12,0.00,
0405100000,0405100000,Butter,2/26/2008 10:22AM,2,60,SHEA BUTTER,1475.40,0.00,US
,,,6/24/2008 11:40AM,1,4,SHEA BUTTER,10.32,0.00,US
,,,7/3/2008 02:55PM,2,158,SHEA BUTTER,3602.18,0.00,US
,,,7/11/2008 02:13PM,1,19,SHEA BUTTER,838.62,0.00,GB
0509000000,0509000000,Natural sponges of animal origin,2/4/2008 01:54PM,5,15,15CT OF SPONGE,0.54,0.00,DE
,,,6/17/2008 11:48AM,6,8,"2DOZ SPONGE,TOOTH BRASH, CHEWING STICK ETC",10.22,0.00,DE
0602900000,0602900000,"Live plants - other, nes",2/29/2008 09:30AM,1,36,CUT FRESH FLOWERS,3619.65,0.00,NL
0603100000,0603100000,Fresh cut flowers and buds,1/3/2008 10:59AM,1,20,FRESH CUT FLOWERS,3453.56,0.00,NL
,,,1/7/2008 11:52AM,1,30,FRESH CUT FLOWERS,970.10,0.00,NL
,,,1/10/2008 10:02AM,1,42,FRESH CUT FLOWERS,2413.01,0.00,NL
,,,1/15/2008 03:39PM,1,42,FRESH CUT FLOWERS,2411.54,0.00,NL
,,,1/17/2008 11:31AM,1,24,FRESH CUT FLOWERS,2411.54,0.00,NL
,,,1/21/2008 09:02AM,1,233,FRESH CUT FERNS,10402.21,0.00,NL
,,,1/26/2008 08:27AM,1,24,FRESH CUT FLOWERS,2410.55,0.00,NL
,,,2/1/2008 09:48AM,1,36,FRESH CUT FLOWERS,3607.14,0.00,NL
,,,2/5/2008 10:46AM,1,36,FRESH CUT FLOWERS,3607.87,0.00,NL
,,,2/6/2008 04:35PM,1,60,FRESH CUT FLOWERS,6019.66,0.00,NL
,,,2/6/2008 04:35PM,1,32,FRESH CUT FLOWERS,3215.71,0.00,NL
,,,2/8/2008 04:24PM,1,40,FRESH CUT FLOWERS,3960.82,0.00,NL
,,,2/11/2008 04:38PM,1,36,FRESH CUT FLOWERS,3607.87,0.00,NL
,,,2/11/2008 04:38PM,1,24,FRESH CUT FLOWERS,2411.78,0.00,NL
,,,2/11/2008 04:38PM,1,24,FRESH CUT FLOWERS,2411.78,0.00,NL
,,,2/12/2008 02:24PM,1,30,FRESH CUT FLOWERS,3023.94,0.00,NL
,,,2/19/2008 01:19PM,1,30,FRESH CUT FLOWERS,3027.64,0.00,NL
,,,2/21/2008 02:42PM,1,30,FRESH CUT FLOWERS,3027.64,0.00,DE
,,,2/22/2008 01:49PM,1,30,FRESH CUT FLOWERS,3617.44,0.00,NL
,,,2/22/2008 01:49PM,1,30,FRESH CUT FLOWERS,3617.44,0.00,NL
,,,2/22/2008 02:08PM,1,30,FRESH CUT FLOWERS,786.40,0.00,NL
,,,3/4/2008 11:57AM,1,36,FRESH CUT FLOWERS,3619.28,0.00,NL
,,,3/7/2008 10:03AM,1,36,FRESH CUT FLOWERS,3619.28,0.00,NL
,,,3/7/2008 03:19PM,1,140,FRESH CUT FLOWERS,5847.05,0.00,NL
,,,3/10/2008 03:06PM,1,36,FRESH CUT FLOWERS,3619.28,0.00,NL
,,,3/12/2008 09:42AM,1,36,FRESH CUT FLOWERS,3620.38,0.00,NL
,,,3/12/2008 02:47PM,1,36,FRESH CUT FLOWERS,3620.38,0.00,NL
,,,3/13/2008 05:05PM,1,30,FRESH CUT FLOWERS,3010.43,0.00,NL
,,,3/14/2008 11:26AM,1,30,FRESH CUT FLOWERS,3010.43,0.00,NL
,,,3/20/2008 12:50PM,1,36,FRESH CUT FLOWERS,3625.17,0.00,NL
,,,3/25/2008 05:11PM,1,30,FREST CUT FLOWERS,3034.11,0.00,NL
,,,3/27/2008 03:42PM,1,30,FREST CUT FLOWERS,3034.11,0.00,NL
,,,3/28/2008 02:32PM,1,233,CUT FLOWERS,10937.56,0.00,NL
,,,4/1/2008 04:41PM,1,36,FREST CUT FLOWERS,3034.42,0.00,NL
,,,4/3/2008 04:16PM,1,30,FREST CUT FLOWERS,3034.42,0.00,NL
,,,4/4/2008 11:38AM,1,170,FRESH CUT FLOWERS,6073.85,0.00,NL
,,,4/8/2008 02:58PM,1,32,FREST CUT FLOWERS,3030.41,0.00,NL
,,,4/10/2008 12:26PM,1,36,FREST CUT FLOWERS,3030.41,0.00,NL
,,,4/11/2008 11:30AM,1,170,FRESH CUT FLOWERS,6018.42,0.00,NL
,,,4/22/2008 02:47PM,1,200,CUT FLOWERS,11175.97,0.00,NL
,,,5/2/2008 01:54PM,1,211,FRESH CUT FERNS,11071.04,0.00,NL
,,,5/16/2008 01:42PM,1,3159,FRESH CUT FLOWERS,797.76,0.00,NL
,,,5/22/2008 02:54PM,1,170,FRESH CUT FLOWERS,6100.39,0.00,NL
,,,6/9/2008 02:21PM,1,150,CUT FLOWERS,11185.96,0.00,NL
,,,6/20/2008 11:31AM,1,109,FRESH CUT FLOWERS,817.52,0.00,NL
,,,6/27/2008 03:00PM,1,70,FRESH CUT FLOWERS,825.28,0.00,NL
,,,6/27/2008 03:00PM,1,20,FRESH CUT FLOWERS,2083.83,0.00,NL
,,,6/30/2008 02:01PM,1,25,FRESH CUT FLOWERS,2640.90,0.00,NL
,,,7/2/2008 02:48PM,1,20,FRESH CUT FLOWERS,2093.33,0.00,NL
,,,7/4/2008 01:13PM,1,86,FRESH CUT FLOWERS,829.04,0.00,NL
,,,7/4/2008 01:18PM,1,36,FRESH CUT FLOWERS,2093.33,0.00,NL
,,,7/7/2008 02:43PM,1,20,FRESH CUT FLOWERS,2093.33,0.00,NL
,,,7/7/2008 04:27PM,1,24,FRESH CUT FLOWERS,2093.33,0.00,NL
,,,7/10/2008 09:00AM,1,30,FRESH CUT FLOWERS,2103.83,0.00,NL
,,,7/11/2008 02:22PM,1,124,FRESH CUT FLOWERS,833.20,0.00,NL
,,,7/11/2008 02:24PM,1,36,FRESH CUT FLOWERS,2103.83,0.00,NL
,,,7/14/2008 03:29PM,1,20,FRESH CUT FLOWERS,2103.83,0.00,NL
,,,7/16/2008 02:39PM,1,36,FRESH CUT FLOWERS,2121.81,0.00,NL
,,,7/18/2008 04:17PM,1,30,FRESH CUT FLOWERS,2121.81,0.00,NL
,,,7/22/2008 04:07PM,1,25,FRESH CUT FLOWERS,2125.65,0.00,NL
,,,7/25/2008 01:14PM,1,42,FRESH CUT FLOWERS,2125.65,0.00,NL
,,,7/25/2008 01:18PM,1,106,FRESH CUT FLOWERS,841.84,0.00,NL
,,,7/28/2008 04:15PM,1,8,FRESH CUT FLOWERS,2125.65,0.00,NL
,,,7/31/2008 12:14PM,1,42,FRESH CUT FLOWERS,4552.96,0.00,NL
,,,8/1/2008 01:13PM,1,50,FRESH CUT FLOWERS,863.12,0.00,NL
,,,8/4/2008 12:58PM,1,25,FRESH CUT FLOWERS,2157.80,0.00,NL
,,,8/8/2008 03:44PM,1,132,FRESH CUT FLOWERS,868.56,0.00,NL
,,,8/16/2008 02:05PM,1,139,FRESH CUT FLOWERS,874.64,0.00,NL
,,,8/25/2008 03:15PM,1,164,FRESH CUT FLOWERS,878.08,0.00,NL
,,,8/29/2008 02:00PM,1,191,FRESH CUT FLOWERS,888.80,0.00,NL
,,,9/5/2008 02:23PM,1,158,FRESH CUT FLOWERS,898.48,0.00,NL
,,,9/12/2008 01:20PM,1,142,FRESH CUT FLOWERS,902.72,0.00,NL
,,,9/19/2008 08:57AM,1,160,FRESH CUT FLOWERS,910.72,0.00,NL
,,,9/26/2008 02:35PM,1,169,FRESH CUT FLOWERS,912.32,0.00,NL
,,,10/3/2008 04:11PM,1,146,FRESH CUT FLOWERS,912.32,0.00,NL
,,,10/10/2008 01:04PM,1,193,CUT FLOWERS,914.64,0.00,NL
,,,10/24/2008 03:38PM,1,175,FRESH CUT FLOWERS,2896.00,0.00,NL
,,,10/30/2008 04:23PM,1,36,FRESH CUT FLOWERS,4212.98,0.00,NL
,,,10/31/2008 02:39PM,1,178,FRESH CUT FLOWERS,928.48,0.00,NL
,,,11/7/2008 02:49PM,1,156,FRESH CUT FLOWERS,934.48,0.00,NL
,,,11/14/2008 03:40PM,1,176,FRESH CUT FLOWERS,936.32,0.00,NL
,,,11/28/2008 03:03PM,1,166,FRESH CUT FLOWERS,950.56,0.00,NL
,,,12/6/2008 12:53PM,1,196,FRESH CUT FLOWERS,957.28,0.00,NL
,,,12/12/2008 02:51PM,1,191,FRESH CUT FLOWERS,958.64,0.00,NL
,,,12/19/2008 02:55PM,1,130,FRESH CUT FLOWERS,965.52,0.00,NL
0703100000,0703100000,"Onions and shallots, fresh or chilled",12/24/2008 08:45AM,1,100,100 BAGS X 110 KGS OF FRESH ONIONBULBS,2450.00,0.00,CI
0709909000,0709909000,"Vegetables, fresh or chilled - other, nes",11/28/2008 10:24AM,3,10,10 CTNS OF SPINACH (NKONTOMIRE),0.00,0.00,DE
,,,12/4/2008 03:53PM,1,1,FRESH VEGETABLES & FRUITS,239.32,0.00,FR
0710800000,0710800000,"Vegetables, frozen, nes",3/1/2008 01:58PM,3,2,GARDEN EGGS,98.36,0.00,IT
0714901000,0714901000,Yams,1/18/2008 12:02PM,1,1000,1000 CTNS FRESH YAM,163.80,0.00,CA
,,,1/9/2008 10:58AM,1,2400,2400  CTNS OF FRESH YAM,216.00,0.00,GB
,,,1/2/2008 01:45PM,1,2000,2000 CTNS OF FRESH YAM,38766.00,0.00,GB
,,,1/3/2008 04:13PM,1,900,900 CTNS FESH YAM,18010.44,0.00,NL
,,,1/4/2008 03:30PM,1,5000,5000 CTNS OF FRESH YAM,96915.00,0.00,GB
,,,1/4/2008 03:30PM,1,1000,1 X 40FT CONT. STC 1000CTNSFRESH YAMS,17461.80,0.00,US
,,,1/7/2008 11:51AM,1,1000,1000 CTNS OF FRESH YAMS,17461.80,0.00,US
,,,1/7/2008 01:58PM,1,1000,1000 CTNS OF FRESH YAMS,17461.80,0.00,US
,,,1/16/2008 05:00PM,1,3000,3000 CTNS FRESH YAM,4705.44,0.00,NL
,,,1/7/2008 03:26PM,1,4000,4000 CTNS FRESH YAM,80046.40,0.00,NL
,,,1/7/2008 03:26PM,1,1000,1000 CTNS OF FRESH YAM,19383.00,0.00,GB
,,,1/8/2008 05:07PM,1,880,880 CTNS OF FRESH YAM,17021.84,0.00,GB
,,,1/9/2008 01:20PM,1,400,400 CTNS FRESH YAM,8065.68,0.00,DE
,,,1/9/2008 03:59PM,1,1040,26 PALLET STC 1040CTNSFRESH YAMS,18362.45,0.00,GB
,,,1/11/2008 10:07AM,1,450,450 CTNS OF FRESH YAMS,9073.89,0.00,IT
,,,1/14/2008 09:56AM,1,500,500 CTNS FRESH YAM,8828.10,0.00,US
,,,1/14/2008 09:57AM,1,1000,1000 CTNS FRESH YAM,17656.20,0.00,US
,,,2/6/2008 03:41PM,1,2000,2000 CTNS FRES YAM,20000.00,0.00,GB
,,,1/15/2008 09:12AM,1,900,1 X 40FT CONT. STC 900CTNSFRESH YAMS,15880.86,0.00,US
,,,1/15/2008 12:46PM,1,999,999 CTNS FRESH YAM,17627.75,0.00,US
,,,1/15/2008 03:22PM,1,1000,1000  CTNS OF FRESH YAM,19233.00,0.00,GB
,,,1/17/2008 10:09AM,1,1000,1000 CTNS OF FRESH YAMS,17645.40,0.00,US
,,,1/17/2008 12:57PM,1,1100,1100 CTNS OF FRESH YAMS,15391.69,0.00,US
,,,1/18/2008 02:37PM,1,1,1 X 40FT CONT. STC 1000CTNSFRESH YAMS,26231.40,0.00,US
,,,2/22/2008 02:09PM,1,12480,12480 CTNS FRESH YAM,220821.12,0.00,NL
,,,1/18/2008 04:10PM,1,900,900 CTN FRESH YAM,18361.98,0.00,NL
,,,1/21/2008 09:44AM,1,5000,5000 CTNS OF FRESH YAMAND ASSOETED FOOD ITEMS,96165.00,0.00,GB
,,,1/21/2008 10:49AM,1,1030,1 X 40FT CONT. STC 1030CTNSFRESH YAMS,18174.76,0.00,US
,,,1/22/2008 10:54AM,1,4000,4000 CTNS OF FRESH YAM,76496.00,0.00,GB
,,,1/22/2008 10:55AM,1,800,800 CTNS OF FRESH YAM,15299.20,0.00,GB
,,,1/22/2008 04:40PM,1,160,160 CTNS FRESH YAM,3008.29,0.00,ZA
,,,1/24/2008 02:50PM,1,900,1 X 40FT CONT. STC 900CTNSFRESH YAMS,15874.38,0.00,US
,,,1/24/2008 02:50PM,1,900,1 X 40FT CONT. STC 900CTNSFRESH YAMS,15874.38,0.00,US
,,,1/25/2008 10:14AM,1,900,1 X 40FT CONT. STC 900CTNSFRESH YAMS,15874.38,0.00,US
,,,1/25/2008 10:29AM,1,1000,1000 CTNS FRESH YAM,17638.20,0.00,US
,,,1/25/2008 10:29AM,1,1000,1000  CTNS OF FRESH YAM,19124.00,0.00,GB
,,,1/28/2008 11:09AM,1,250,1 X 20' VENT CONTR STC 250 CTNSFRESH YAMS,4988.90,0.00,BE
,,,1/28/2008 11:37AM,1,900,900 CTN FRESH YAM,17960.04,0.00,NL
,,,1/29/2008 11:51AM,1,1000,1000 CTNS OF FRESH YAMS,17643.60,0.00,US
,,,1/29/2008 03:00PM,1,1040,1040 CTNS OF FRESH YAMS,18349.34,0.00,GB
,,,1/29/2008 03:34PM,1,4000,4000 CTNS OF FRESH YAM,77524.00,0.00,GB
,,,1/30/2008 12:50PM,1,1200,1200 CTNS FRESH YAM,23257.20,0.00,GB
,,,1/31/2008 09:45AM,1,5000,5000 CTNS OF FRESH YAMAND ASSOETED FOOD ITEMS,96905.00,0.00,GB
,,,1/31/2008 02:00PM,1,1000,1000  CTNS OF FRESH YAM,19381.00,0.00,GB
,,,2/1/2008 12:33PM,1,450,450 CTNS OF FRESH YAMS,9055.62,0.00,IT
,,,2/1/2008 12:56PM,1,1000,1000 CTNS FRESH YAM,17643.60,0.00,ES
,,,2/4/2008 01:54PM,1,160,160 CTNS OF FRESH YAMS,20.61,0.00,DE
,,,2/1/2008 04:32PM,1,940,940  CTNS OF FRESH YAM,32792.65,0.00,GB
,,,2/4/2008 09:53AM,1,520,520 CTNS OF FRESH YAMS,8364.23,0.00,NL
,,,2/4/2008 10:34AM,1,1000,1000 CTNS OF FRESH YAMS,17643.60,0.00,US
,,,2/4/2008 11:27AM,1,1000,1000 CTNS OF FRESH YAMS,17643.60,0.00,US
,,,2/4/2008 01:33PM,1,2700,2700  CTNS OF FRESH YAM,52328.70,0.00,GB
,,,2/11/2008 02:21PM,1,500,500CTNS FRESH YAMS,12353.04,0.00,CA
,,,2/5/2008 09:57AM,1,880,880 CTNS OF FRESH YAM,17006.88,0.00,GB
,,,2/5/2008 01:56PM,1,4000,4000 CTNS OF FRESH YAM,77304.00,0.00,GB
,,,2/6/2008 11:47AM,1,2000,2000 CTNS FRESH YAM,38652.00,0.00,GB
,,,2/7/2008 10:24AM,1,1400,1400 CTNS FRESH YAM,36655.92,0.00,US
,,,2/8/2008 02:25PM,1,1000,1000  CTNS OF FRESH YAM,19326.00,0.00,GB
,,,2/8/2008 04:10PM,1,123,123 CTNS FRESH YAM,2504.82,0.00,US
,,,2/11/2008 11:12AM,1,900,900 CTN FRESH YAM,18327.96,0.00,NL
,,,2/12/2008 09:09AM,1,900,1 X 40FT CONT. STC 900CTNSFRESH YAMS,15905.16,0.00,US
,,,2/12/2008 12:39PM,1,700,700 CTNS OF FRESH YAMS,8174.47,0.00,US
,,,2/13/2008 09:56AM,1,4200,4200 CTNS OF FRESH YAM,80161.20,0.00,GB
,,,2/13/2008 03:25PM,1,1000,1000 CTNS FRESH YAMS,17672.40,0.00,US
,,,2/13/2008 03:25PM,1,1000,1000 CTNS FRESH YAMS,17672.40,0.00,US
,,,2/13/2008 04:21PM,1,2000,2000 CTNS FRESH YAM,40000.80,0.00,NL
,,,2/14/2008 09:35AM,1,1040,1040 CTNS OF FRESH YAMS,18379.30,0.00,GB
,,,2/14/2008 12:21PM,1,400,10 PALLETS STC. 400 CTNS OFFRESH PUNA YAMS,6107.52,0.00,GB
,,,2/15/2008 10:36AM,1,1200,1200  CTNS OF FRESH YAM,22903.20,0.00,GB
,,,2/15/2008 12:50PM,1,1000,1000 CTNS OF FRESH YAM,19086.00,0.00,GB
,,,2/15/2008 02:29PM,1,5200,5200 CTNS FRESH YAM,91896.48,0.00,NL
,,,2/15/2008 02:29PM,1,2700,2700  CTNS OF FRESH YAM,51532.20,0.00,GB
,,,2/18/2008 10:31AM,1,900,1 X 40FT CONT. STC 900CTNSFRESH YAMS,15905.16,0.00,US
,,,2/18/2008 11:31AM,1,900,900 CTN FRESH YAM,18000.36,0.00,NL
,,,2/18/2008 12:06PM,1,1030,1030 CTNS OF FRESH YAMS,18202.57,0.00,US
,,,2/19/2008 12:51PM,1,9000,9000 CTNS OF FRESH YAM,173160.00,0.00,GB
,,,2/19/2008 03:36PM,1,420,420 CTN FRESH YAM,6062.70,0.00,BE
,,,2/20/2008 09:43AM,1,400,400 CTNS FRESH YAM,8083.60,0.00,NL
